InstrumentName, I-25 Denver Collo (CS16),,,,,,,,,,,,,,
StartTime, 2019-06-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2019-06-30 23:59:59,,,,,,,,,,,,,,
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,Sig,Temp,Uncertainty,pm25_r,pm25_r2
06/27/2019 16:14:15.843000,0.0,0.0,0.0,8.56,39.767967,-104.994781,5.2,5.25,3.47,3.35,-63.0,93.36,19.0,4.85,4.25
06/27/2019 16:15:08.233000,0.0,0.0,0.0,8.34,39.767967,-104.994781,5.85,5.35,3.8,3.25,-63.0,93.72,19.0,4.52,4.15
06/27/2019 16:16:08.257000,0.0,0.0,0.0,8.55,39.767967,-104.994781,3.38,4.0,2.73,2.45,-63.0,94.14,19.0,3.38,3.5
06/27/2019 16:17:08.070000,0.0,0.0,0.0,7.89,39.767967,-104.994781,5.72,5.48,3.23,3.72,-63.0,94.46,19.0,4.8,5.2
06/27/2019 16:18:08.077000,0.0,0.0,0.0,7.98,39.767967,-104.994781,5.88,5.68,3.77,3.7,-63.0,94.68,19.0,4.92,4.35
06/27/2019 16:19:05.917000,0.0,0.0,0.0,7.73,39.767967,-104.994781,5.13,3.85,2.87,3.03,-63.0,94.8,19.0,3.18,3.85
06/27/2019 16:20:07.107000,0.0,0.0,0.0,7.74,39.767967,-104.994781,4.1,3.73,3.5,2.83,-63.0,94.95,19.0,4.0,3.73
06/27/2019 16:21:07.533000,0.0,0.0,0.0,7.6,39.767967,-104.994781,5.32,4.85,3.2,3.25,-63.0,95.11,19.0,4.67,4.45
06/27/2019 16:22:06.793000,0.0,0.0,0.0,7.7,39.767967,-104.994781,5.52,4.43,3.92,2.73,-63.0,95.31,19.0,4.98,3.78
06/27/2019 16:23:15.670000,0.0,0.0,0.0,7.8,39.767967,-104.994781,3.57,4.55,2.8,2.9,-63.0,95.43,19.0,3.52,4.2
06/27/2019 16:24:07.440000,0.0,0.0,0.0,7.84,39.767967,-104.994781,5.12,4.9,3.82,3.5,-63.0,95.63,19.0,5.02,4.5
06/27/2019 16:25:08.337000,0.0,0.0,0.0,7.19,39.767967,-104.994781,4.53,6.23,2.98,4.47,-63.0,95.92,19.0,4.38,5.43
06/27/2019 16:26:06.217000,0.0,0.0,0.0,7.24,39.767967,-104.994781,5.45,4.12,3.07,2.83,-63.0,95.9,19.0,4.47,4.0
06/27/2019 16:27:14.860000,0.0,0.0,0.0,7.37,39.767967,-104.994781,4.43,5.0,3.22,2.87,-63.0,96.15,19.0,4.3,4.33
06/27/2019 16:28:07.057000,0.0,0.0,0.0,7.35,39.767967,-104.994781,4.62,5.38,3.17,3.78,-63.0,96.37,19.0,4.32,4.88
06/27/2019 16:29:07.360000,0.0,0.0,0.0,7.44,39.767967,-104.994781,4.2,4.22,2.97,3.07,-63.0,96.69,19.0,3.92,3.87
06/27/2019 16:30:07.970000,0.0,0.0,0.0,6.98,39.767967,-104.994781,4.12,4.48,3.12,3.57,-63.0,96.93,19.0,4.12,4.12
06/27/2019 16:31:08.217000,0.0,0.0,0.0,6.58,39.767967,-104.994781,4.33,4.98,3.67,3.68,-63.0,96.89,19.0,4.33,4.58
06/27/2019 16:32:06.290000,0.0,0.0,0.0,6.86,39.767967,-104.994781,5.6,3.7,3.8,2.38,-63.0,96.8,19.0,5.0,3.7
06/27/2019 16:33:15.770000,0.0,0.0,0.0,6.78,39.767967,-104.994781,6.15,3.78,4.03,3.35,-63.0,96.84,19.0,5.82,3.78
06/27/2019 16:34:07.290000,0.0,0.0,0.0,6.97,39.767967,-104.994781,5.28,4.38,3.42,3.18,-63.0,97.05,19.0,4.02,3.98
