InstrumentName, Columbian Elem (CS23)
StartTime, 2021-11-01 00:00:00
EndTime, 2021-11-30 00:00:00
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,PM2_5_P,Sig,Temp,Time,Uncertainty,datetime,source_device
11/01/2021 00:00:28,0.0,0.0,0.0,48.9,,,9.6,8.93,4.82,4.75,8.05,7.75,7.655,-73.0,45.21,,-1.0,,
11/01/2021 00:02:05,0.0,0.0,0.0,48.65,,,9.27,7.72,5.15,4.58,8.45,7.52,7.904,-1.0,45.37,,-1.0,,
11/01/2021 00:03:05,0.0,0.0,0.0,48.62,,,9.33,6.72,4.32,4.1,7.32,6.62,7.207,-1.0,45.41,,-1.0,,
11/01/2021 00:04:04,0.0,0.0,0.0,48.59,,,8.15,7.28,4.53,4.65,8.12,7.23,7.701,-73.0,45.45,,-1.0,,
11/01/2021 00:05:04,0.0,0.0,0.0,48.62,,,7.42,7.22,4.65,4.8,7.23,7.02,7.152,-73.0,45.45,,-1.0,,
11/01/2021 00:06:05,0.0,0.0,0.0,48.68,,,9.27,7.37,4.57,4.55,6.92,7.07,6.96,-73.0,45.41,,-1.0,,
11/01/2021 00:07:04,0.0,0.0,0.0,48.61,,,11.2,6.68,4.7,4.07,9.37,6.38,8.473,-73.0,45.41,,-1.0,,
11/01/2021 00:08:06,0.0,0.0,0.0,48.58,,,9.33,6.08,5.2,4.22,8.27,5.67,7.793,-73.0,45.39,,-1.0,,
11/01/2021 00:09:04,0.0,0.0,0.0,48.58,,,10.38,5.52,4.2,3.15,8.37,5.52,7.855,-75.0,45.39,,-1.0,,
11/01/2021 00:10:05,0.0,0.0,0.0,48.59,,,9.47,6.52,4.45,4.25,7.92,6.35,7.577,-75.0,45.39,,-1.0,,
11/01/2021 00:11:06,0.0,0.0,0.0,48.75,,,8.58,7.15,4.43,4.33,7.97,6.48,7.608,-75.0,45.39,,-1.0,,
11/01/2021 00:12:04,0.0,0.0,0.0,48.78,,,9.3,6.83,4.65,4.78,7.93,6.63,7.583,-73.0,45.39,,-1.0,,
11/01/2021 00:13:05,0.0,0.0,0.0,48.77,,,9.17,6.35,4.27,4.18,8.4,5.7,7.873,-73.0,45.41,,-1.0,,
11/01/2021 00:14:04,0.0,0.0,0.0,48.79,,,7.63,7.07,4.45,4.92,6.52,6.58,6.713,-73.0,45.41,,-1.0,,
11/01/2021 00:15:04,0.0,0.0,0.0,48.86,,,8.28,7.32,4.18,4.88,7.28,7.18,7.182,-73.0,45.41,,-1.0,,
11/01/2021 00:16:05,0.0,0.0,0.0,48.81,,,10.68,6.45,5.03,3.97,8.67,6.1,8.04,-73.0,45.43,,-1.0,,
11/01/2021 00:17:07,0.0,0.0,0.0,48.75,,,9.47,5.98,3.88,3.2,7.68,5.7,7.429,-73.0,45.41,,-1.0,,
11/01/2021 00:18:05,0.0,0.0,0.0,48.83,,,9.7,7.08,5.07,3.8,8.25,6.62,7.781,-73.0,45.41,,-1.0,,
11/01/2021 00:19:04,0.0,0.0,0.0,48.92,,,9.25,6.65,4.23,4.27,7.25,6.65,7.163,-73.0,45.41,,-1.0,,
11/01/2021 00:20:05,0.0,0.0,0.0,48.91,,,7.1,6.52,3.9,3.67,6.48,6.48,6.688,-73.0,45.41,,-1.0,,
11/01/2021 00:21:06,0.0,0.0,0.0,48.92,,,7.8,6.33,4.4,4.08,7.23,6.25,7.151,-73.0,45.41,,-1.0,,
11/01/2021 00:22:04,0.0,0.0,0.0,48.9,,,6.63,5.93,4.18,4.05,6.3,5.75,6.576,-73.0,45.41,,-1.0,,
11/01/2021 00:23:05,0.0,0.0,0.0,48.88,,,8.58,6.7,4.95,3.97,7.82,6.28,7.515,-75.0,45.41,,-1.0,,
11/01/2021 00:24:04,0.0,0.0,0.0,48.9,,,7.78,5.62,4.43,3.6,7.53,5.2,7.336,-73.0,45.41,,-1.0,,
11/01/2021 00:25:06,0.0,0.0,0.0,48.88,,,9.43,5.58,4.1,3.7,7.38,5.35,7.243,-73.0,45.41,,-1.0,,
11/01/2021 00:26:05,0.0,0.0,0.0,48.93,,,10.2,6.42,5.22,4.3,9.0,6.0,8.243,-73.0,45.41,,-1.0,,
11/01/2021 00:27:06,0.0,0.0,0.0,48.95,,,9.62,5.98,5.18,4.02,8.37,5.9,7.854,-73.0,45.41,,-1.0,,
11/01/2021 00:28:05,0.0,0.0,0.0,48.91,,,8.45,5.77,4.42,4.08,7.85,5.6,7.533,-73.0,45.41,,-1.0,,
11/01/2021 00:29:04,0.0,0.0,0.0,48.92,,,7.6,5.97,4.17,3.97,6.68,5.97,6.811,-73.0,45.41,,-1.0,,
11/01/2021 00:30:06,0.0,0.0,0.0,48.95,,,7.73,8.02,4.48,4.4,7.03,7.62,7.027,-73.0,45.43,,-1.0,,
