InstrumentName, Bruce Randolph (CS19)
StartTime, 2021-11-01 00:00:00
EndTime, 2021-11-30 00:00:00
Date,F1,F3,F4,Hmdty,Lat,Long,P25,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Time,Uncertainty,datetime,source_device
11/01/2021 00:00:02,1.0,0.0,0.0,-1.0,,,6.171,7.63,5.82,3.58,3.72,6.23,5.17,-51.0,-1.0,,361400.0,,
11/01/2021 00:01:03,1.0,0.0,0.0,-1.0,,,6.276,7.7,5.58,3.0,3.83,6.4,5.58,-51.0,-1.0,,361400.0,,
11/01/2021 00:02:02,1.0,0.0,0.0,-1.0,,,6.492,7.55,5.48,4.05,2.6,6.75,4.65,-51.0,-1.0,,361400.0,,
11/01/2021 00:03:03,1.0,0.0,0.0,-1.0,,,6.011,5.97,5.92,3.95,3.48,5.97,5.2,-51.0,-1.0,,361400.0,,
11/01/2021 00:04:03,1.0,0.0,0.0,-1.0,,,5.585,5.83,5.42,3.1,2.53,5.28,5.42,-51.0,-1.0,,361400.0,,
11/01/2021 00:05:03,1.0,0.0,0.0,-1.0,,,5.998,9.0,5.55,2.95,3.38,5.95,5.55,-51.0,-1.0,,361400.0,,
11/01/2021 00:06:03,1.0,0.0,0.0,-1.0,,,6.356,6.93,6.62,3.52,3.6,6.53,6.62,-51.0,-1.0,,433400.0,,
11/01/2021 00:07:02,1.0,0.0,0.0,-1.0,,,6.048,8.57,6.17,3.67,3.65,6.03,6.17,-51.0,-1.0,,433400.0,,
11/01/2021 00:08:02,1.0,0.0,0.0,-1.0,,,5.671,6.82,6.13,3.63,4.1,5.42,6.13,-51.0,-1.0,,433400.0,,
11/01/2021 00:09:02,1.0,0.0,0.0,-1.0,,,5.085,4.53,5.7,2.75,3.3,4.47,5.25,-51.0,-1.0,,433400.0,,
11/01/2021 00:10:03,1.0,0.0,0.0,-1.0,,,4.967,5.08,6.55,2.52,3.05,4.28,5.55,-51.0,-1.0,,433400.0,,
11/01/2021 00:11:01,1.0,0.0,0.0,-1.0,,,5.338,5.67,6.9,2.98,3.2,4.88,6.9,-51.0,-1.0,,433400.0,,
11/01/2021 00:12:02,1.0,0.0,0.0,-1.0,,,5.443,6.5,7.18,3.5,3.58,5.05,6.15,-51.0,-1.0,,433400.0,,
11/01/2021 00:13:05,1.0,0.0,0.0,-1.0,,,5.98,6.92,7.07,3.45,3.88,5.92,6.17,-51.0,-1.0,,433400.0,,
