InstrumentName, Farrell B Howell (CS25)
StartTime, 2021-11-01 00:00:00
EndTime, 2021-11-30 00:00:00
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,PM2_5_P,Sig,Temp,Time,Uncertainty,datetime,source_device
11/01/2021 00:00:29,0.0,0.0,0.0,50.58,,,8.98,8.48,3.67,4.05,7.4,6.68,7.243,-73.0,44.8,,-1.0,,
11/01/2021 00:02:05,0.0,0.0,0.0,50.76,,,7.37,6.17,4.3,3.37,7.23,5.73,7.138,-73.0,44.78,,-1.0,,
11/01/2021 00:03:04,0.0,0.0,0.0,50.49,,,6.08,8.2,3.45,3.77,6.08,6.2,6.43,-73.0,44.96,,-1.0,,
11/01/2021 00:04:05,0.0,0.0,0.0,50.53,,,5.25,7.98,3.43,3.5,5.25,5.52,5.917,-73.0,44.87,,-1.0,,
11/01/2021 00:05:06,0.0,0.0,0.0,50.76,,,5.27,4.85,3.42,2.92,5.12,4.47,5.835,-73.0,44.82,,-1.0,,
11/01/2021 00:06:05,0.0,0.0,0.0,51.06,,,8.6,5.82,3.65,3.0,7.75,5.4,7.456,-73.0,44.65,,-1.0,,
11/01/2021 00:07:05,0.0,0.0,0.0,51.14,,,6.13,5.83,2.87,3.03,5.58,5.83,6.115,-73.0,44.58,,-1.0,,
11/01/2021 00:08:05,0.0,0.0,0.0,51.23,,,6.12,5.3,3.47,3.1,5.4,5.3,6.003,-73.0,44.53,,-1.0,,
11/01/2021 00:09:06,0.0,0.0,0.0,51.38,,,7.3,4.75,3.73,3.15,6.9,4.75,6.928,-73.0,44.47,,-1.0,,
11/01/2021 00:10:06,0.0,0.0,0.0,51.24,,,6.58,5.68,3.48,3.5,5.18,5.68,5.868,-73.0,44.53,,-1.0,,
11/01/2021 00:11:05,0.0,0.0,0.0,51.6,,,8.13,5.45,2.8,3.47,5.93,5.45,6.327,-73.0,44.31,,-1.0,,
11/01/2021 00:12:05,0.0,0.0,0.0,51.53,,,7.03,7.35,3.95,3.83,6.78,6.67,6.853,-73.0,44.4,,-1.0,,
11/01/2021 00:13:04,0.0,0.0,0.0,51.35,,,7.23,8.88,3.88,3.93,6.68,7.73,6.793,-73.0,44.49,,-1.0,,
11/01/2021 00:14:06,0.0,0.0,0.0,50.83,,,7.53,6.43,3.52,3.53,6.68,5.57,6.798,-73.0,44.82,,-1.0,,
11/01/2021 00:15:05,0.0,0.0,0.0,50.42,,,8.32,5.25,3.03,2.58,7.67,4.72,7.413,-73.0,45.05,,-1.0,,
11/01/2021 00:16:05,0.0,0.0,0.0,50.18,,,6.12,4.67,2.77,2.58,4.98,4.67,5.755,-73.0,45.21,,-1.0,,
11/01/2021 00:17:05,0.0,0.0,0.0,49.94,,,5.48,7.65,3.1,3.67,5.0,6.73,5.77,-73.0,45.32,,-1.0,,
11/01/2021 00:18:04,0.0,0.0,0.0,49.89,,,7.57,5.25,4.1,3.02,6.63,4.67,6.777,-73.0,45.37,,-1.0,,
11/01/2021 00:19:05,0.0,0.0,0.0,49.71,,,6.9,4.15,3.33,2.7,5.62,4.15,6.155,-73.0,45.46,,-1.0,,
11/01/2021 00:20:05,0.0,0.0,0.0,49.6,,,7.25,6.5,3.58,2.8,5.98,4.87,6.378,-73.0,45.5,,-1.0,,
11/01/2021 00:21:05,0.0,0.0,0.0,49.46,,,3.97,5.03,2.85,2.93,3.75,4.82,5.002,-73.0,45.55,,-1.0,,
11/01/2021 00:22:05,0.0,0.0,0.0,49.34,,,4.73,5.65,2.37,3.6,3.57,5.65,4.892,-73.0,45.59,,-1.0,,
11/01/2021 00:23:05,0.0,0.0,0.0,49.38,,,4.97,6.28,3.68,3.53,4.93,6.0,5.731,-73.0,45.57,,-1.0,,
11/01/2021 00:24:05,0.0,0.0,0.0,49.45,,,5.18,5.17,3.45,3.27,5.03,5.0,5.792,-73.0,45.5,,-1.0,,
11/01/2021 00:25:06,0.0,0.0,0.0,49.39,,,4.87,4.23,3.02,2.92,4.83,4.23,5.669,-73.0,45.54,,-1.0,,
11/01/2021 00:26:06,0.0,0.0,0.0,49.73,,,8.17,5.05,3.38,2.98,6.3,4.85,6.574,-73.0,45.43,,-1.0,,
11/01/2021 00:27:04,0.0,0.0,0.0,49.93,,,8.43,5.13,4.02,3.1,7.4,4.93,7.251,-73.0,45.28,,-1.0,,
11/01/2021 00:28:06,0.0,0.0,0.0,49.68,,,5.72,4.68,2.83,2.9,4.93,4.3,5.728,-73.0,45.39,,-1.0,,
11/01/2021 00:29:04,0.0,0.0,0.0,49.93,,,5.2,4.82,3.57,2.72,5.2,4.6,5.892,-73.0,45.27,,-1.0,,
11/01/2021 00:30:06,0.0,0.0,0.0,49.91,,,5.68,6.75,3.45,3.55,5.23,5.92,5.912,-73.0,45.32,,-1.0,,
11/01/2021 00:31:06,0.0,0.0,0.0,50.31,,,5.62,8.75,3.63,3.7,5.62,6.68,6.148,-73.0,45.07,,-1.0,,
11/01/2021 00:32:04,0.0,0.0,0.0,49.94,,,5.52,7.78,2.75,3.93,4.8,6.08,5.646,-73.0,45.32,,-1.0,,
11/01/2021 00:33:05,0.0,0.0,0.0,49.7,,,6.73,5.68,3.8,3.55,6.73,5.2,6.84,-73.0,45.45,,-1.0,,
11/01/2021 00:34:06,0.0,0.0,0.0,50.14,,,5.2,5.48,2.48,3.32,4.18,5.18,5.261,-73.0,45.19,,-1.0,,
11/01/2021 00:35:05,0.0,0.0,0.0,50.19,,,5.73,6.22,2.5,4.17,5.08,5.52,5.817,-73.0,45.21,,-1.0,,
11/01/2021 00:36:06,0.0,0.0,0.0,50.56,,,6.72,7.13,4.17,3.62,6.72,5.6,6.826,-73.0,45.03,,-1.0,,
11/01/2021 00:37:05,0.0,0.0,0.0,50.51,,,6.98,5.63,3.23,2.92,6.37,4.7,6.611,-73.0,45.07,,-1.0,,
11/01/2021 00:38:06,0.0,0.0,0.0,50.46,,,5.55,5.23,3.28,3.22,5.55,4.9,6.104,-73.0,45.05,,-1.0,,
11/01/2021 00:39:04,0.0,0.0,0.0,50.41,,,6.3,6.65,3.75,3.22,5.93,5.68,6.34,-73.0,45.09,,-1.0,,
11/01/2021 00:40:05,0.0,0.0,0.0,50.01,,,7.63,7.75,3.22,3.88,5.7,7.02,6.201,-73.0,45.32,,-1.0,,
11/01/2021 00:41:05,0.0,0.0,0.0,49.73,,,8.75,7.33,4.58,3.6,7.5,5.33,7.315,-73.0,45.46,,-1.0,,
11/01/2021 00:42:05,0.0,0.0,0.0,49.52,,,6.9,6.28,4.6,3.27,6.9,5.7,6.946,-73.0,45.55,,-1.0,,
11/01/2021 00:43:06,0.0,0.0,0.0,49.41,,,8.4,7.97,4.07,3.92,8.12,6.77,7.7,-73.0,45.57,,-1.0,,
11/01/2021 00:44:05,0.0,0.0,0.0,49.36,,,6.17,5.45,3.35,3.72,5.72,5.45,6.219,-73.0,45.59,,-1.0,,
11/01/2021 00:45:06,0.0,0.0,0.0,49.39,,,8.07,5.97,3.8,3.92,6.72,5.97,6.837,-73.0,45.63,,-1.0,,
11/01/2021 00:46:04,0.0,0.0,0.0,49.71,,,8.48,7.37,4.02,4.17,6.7,7.37,6.822,-73.0,45.48,,-1.0,,
11/01/2021 00:47:05,0.0,0.0,0.0,50.0,,,8.57,6.45,3.62,3.57,7.08,5.93,7.053,-73.0,45.27,,-1.0,,
11/01/2021 00:48:03,0.0,0.0,0.0,50.12,,,7.63,6.68,4.37,3.38,6.9,5.23,6.941,-73.0,45.25,,-1.0,,
11/01/2021 00:49:03,0.0,0.0,0.0,50.0,,,7.57,7.25,4.18,3.8,6.72,6.48,6.832,-73.0,45.36,,-1.0,,
11/01/2021 00:50:05,0.0,0.0,0.0,50.19,,,8.1,9.8,4.72,4.6,8.1,7.67,7.682,-73.0,45.27,,-1.0,,
11/01/2021 00:51:06,0.0,0.0,0.0,49.84,,,7.27,8.48,4.07,3.77,6.13,7.27,6.469,-73.0,45.5,,-1.0,,
11/01/2021 00:52:05,0.0,0.0,0.0,49.82,,,7.37,6.65,3.9,3.65,6.25,5.72,6.544,-73.0,45.55,,-1.0,,
11/01/2021 00:53:04,0.0,0.0,0.0,50.26,,,7.68,4.95,3.88,3.8,6.45,4.72,6.662,-73.0,45.19,,-1.0,,
11/01/2021 00:54:06,0.0,0.0,0.0,50.42,,,7.02,6.97,4.0,4.17,6.28,6.97,6.556,-73.0,45.16,,-1.0,,
11/01/2021 00:55:06,0.0,0.0,0.0,50.58,,,6.5,6.98,3.87,4.18,6.27,6.35,6.549,-73.0,45.07,,-1.0,,
11/01/2021 00:56:06,0.0,0.0,0.0,50.34,,,6.27,6.05,2.88,3.08,6.27,4.67,6.551,-73.0,45.21,,-1.0,,
11/01/2021 00:57:04,0.0,0.0,0.0,50.21,,,5.77,4.67,3.5,2.67,5.32,4.63,5.966,-73.0,45.28,,-1.0,,
11/01/2021 00:58:06,0.0,0.0,0.0,49.8,,,8.7,8.23,2.92,3.52,7.55,7.52,7.346,-73.0,45.5,,-1.0,,
11/01/2021 00:59:07,0.0,0.0,0.0,49.83,,,6.58,8.97,3.22,3.48,5.52,7.8,6.093,-73.0,45.52,,-1.0,,
11/01/2021 01:00:28,0.0,0.0,0.0,49.9,,,6.7,6.6,3.15,4.02,6.02,5.53,6.402,-73.0,45.54,,-1.0,,
11/01/2021 01:01:05,0.0,0.0,0.0,49.65,,,7.65,7.23,3.27,3.63,6.0,6.0,6.392,-73.0,45.66,,-1.0,,
11/01/2021 01:02:06,0.0,0.0,0.0,49.38,,,6.33,5.55,3.37,2.97,5.98,5.55,6.383,-73.0,45.88,,-1.0,,
11/01/2021 01:03:05,0.0,0.0,0.0,49.15,,,7.05,5.03,4.03,2.88,6.98,5.03,7.002,-73.0,45.97,,-1.0,,
11/01/2021 01:04:03,0.0,0.0,0.0,49.06,,,5.35,5.88,2.85,3.75,4.75,5.07,5.626,-73.0,46.04,,-1.0,,
11/01/2021 01:05:04,0.0,0.0,0.0,49.21,,,7.8,6.38,3.5,3.12,6.8,4.83,6.889,-73.0,45.88,,-1.0,,
11/01/2021 01:06:03,0.0,0.0,0.0,49.01,,,6.87,6.92,3.32,2.9,6.52,5.62,6.719,-73.0,46.0,,-1.0,,
11/01/2021 01:07:03,0.0,0.0,0.0,49.04,,,7.37,6.58,3.62,3.48,6.1,5.55,6.458,-73.0,45.9,,-1.0,,
11/01/2021 01:08:04,0.0,0.0,0.0,48.97,,,8.12,6.32,3.85,3.1,7.47,4.48,7.304,-73.0,45.9,,-1.0,,
11/01/2021 01:09:04,0.0,0.0,0.0,49.12,,,7.08,5.75,3.37,2.78,6.25,5.75,6.549,-73.0,45.82,,-1.0,,
11/01/2021 01:10:04,0.0,0.0,0.0,49.06,,,7.42,8.2,3.7,3.45,6.5,6.4,6.705,-73.0,45.9,,-1.0,,
11/01/2021 01:11:03,0.0,0.0,0.0,49.0,,,7.32,6.22,3.28,3.02,5.05,6.22,5.81,-73.0,45.93,,-1.0,,
11/01/2021 01:12:04,0.0,0.0,0.0,48.98,,,4.05,5.08,2.53,2.72,4.05,4.87,5.193,-73.0,45.97,,-1.0,,
11/01/2021 01:13:04,0.0,0.0,0.0,48.94,,,4.58,4.77,3.18,2.67,4.58,4.18,5.521,-73.0,45.97,,-1.0,,
11/01/2021 01:14:04,0.0,0.0,0.0,48.96,,,6.62,6.27,3.32,3.43,5.55,5.37,6.12,-73.0,45.99,,-1.0,,
11/01/2021 01:15:04,0.0,0.0,0.0,49.05,,,8.13,8.37,3.2,4.58,6.4,7.25,6.644,-73.0,45.97,,-1.0,,
11/01/2021 01:16:03,0.0,0.0,0.0,49.07,,,6.87,6.85,3.4,3.7,5.77,6.85,6.255,-73.0,45.99,,-1.0,,
11/01/2021 01:17:05,0.0,0.0,0.0,49.04,,,6.83,6.55,3.48,3.63,6.07,5.5,6.44,-73.0,45.97,,-1.0,,
11/01/2021 01:18:04,0.0,0.0,0.0,49.01,,,8.58,5.7,3.7,3.22,7.42,4.63,7.274,-73.0,46.0,,-1.0,,
11/01/2021 01:19:03,0.0,0.0,0.0,49.03,,,7.12,8.35,3.87,3.58,6.37,5.7,6.626,-73.0,46.02,,-1.0,,
11/01/2021 01:20:04,0.0,0.0,0.0,49.49,,,7.7,7.9,4.18,3.52,6.4,6.43,6.639,-73.0,45.68,,-1.0,,
11/01/2021 01:21:03,0.0,0.0,0.0,49.57,,,8.45,9.2,5.15,4.93,8.45,8.48,7.905,-73.0,45.72,,-1.0,,
11/01/2021 01:22:04,0.0,0.0,0.0,49.34,,,9.18,7.67,3.2,3.77,8.3,6.1,7.815,-73.0,45.84,,-1.0,,
11/01/2021 01:23:04,0.0,0.0,0.0,49.19,,,7.12,7.7,4.17,3.35,6.6,5.85,6.767,-73.0,45.97,,-1.0,,
11/01/2021 01:24:03,0.0,0.0,0.0,49.12,,,8.62,8.6,4.13,4.53,7.27,6.75,7.181,-73.0,46.02,,-1.0,,
11/01/2021 01:25:06,0.0,0.0,0.0,48.99,,,7.1,7.65,3.88,3.87,6.9,5.9,6.954,-73.0,46.04,,-1.0,,
11/01/2021 01:26:04,0.0,0.0,0.0,48.98,,,8.82,6.9,4.07,3.43,8.32,6.33,7.831,-73.0,46.06,,-1.0,,
11/01/2021 01:27:05,0.0,0.0,0.0,48.96,,,8.18,5.47,4.05,2.97,7.27,4.82,7.182,-73.0,46.04,,-1.0,,
11/01/2021 01:28:03,0.0,0.0,0.0,49.04,,,5.9,6.92,3.12,3.78,5.2,6.18,5.903,-73.0,45.99,,-1.0,,
11/01/2021 01:29:05,0.0,0.0,0.0,49.06,,,8.03,6.47,4.07,3.47,7.63,5.8,7.403,-73.0,45.93,,-1.0,,
11/01/2021 01:30:03,0.0,0.0,0.0,49.19,,,8.67,6.8,4.17,3.23,7.83,5.78,7.525,-73.0,45.86,,-1.0,,
