InstrumentName, CAMP,,,,
StartTime, 2019-02-01 00:00:00,,,,
EndTime, 2019-02-28 23:59:59,,,,
Date,Carbon monoxide,Nitrogen dioxide,Ozone,PM10 Total 0-10um STP,PM2.5 Total Atmospheric
02/01/2019 00:00:00.000000,0.667233,54.011,0.00165,0.065419,14.759459
02/01/2019 00:01:00.000000,0.668641,51.702,0.0019,0.057834,14.160976
02/01/2019 00:02:00.000000,0.657389,52.595,0.00195,60.8025,13.42
02/01/2019 00:03:00.000000,0.630516,52.87325,0.0018,65.485714,10.847619
02/01/2019 00:04:00.000000,0.653627,53.2105,0.00185,62.646875,11.884375
02/01/2019 00:05:00.000000,0.646144,54.6845,0.0021,37.671429,12.871429
02/01/2019 00:06:00.000000,0.678915,55.9615,0.001725,41.669444,14.477778
02/01/2019 00:07:00.000000,0.723322,56.34025,0.002075,61.725,14.25
02/01/2019 00:08:00.000000,0.717819,57.9395,0.001925,0.07674,11.945455
02/01/2019 00:09:00.000000,0.700785,58.3875,0.0014,0.077329,13.656098
02/01/2019 00:10:00.000000,0.754183,55.35725,0.00125,59.374419,17.27907
02/01/2019 00:11:00.000000,0.780728,55.082,0.0014,48.87907,15.255814
02/01/2019 00:12:00.000000,0.740028,56.254,0.001125,56.27907,14.632558
02/01/2019 00:13:00.000000,0.6467,56.61425,0.000825,83.44,14.502857
02/01/2019 00:14:00.000000,0.750241,58.98225,0.000975,0.118448,12.123077
02/01/2019 00:15:00.000000,0.754958,58.08225,0.001025,61.342857,12.785714
02/01/2019 00:16:00.000000,0.647997,58.1215,0.0013,0.051013,13.05814
02/01/2019 00:17:00.000000,0.708638,56.41875,0.001,0.052938,12.917073
02/01/2019 00:18:00.000000,0.785452,55.9595,0.0005,37.424324,13.648649
02/01/2019 00:19:00.000000,0.817977,55.71025,0.0008,0.036935,12.231707
02/01/2019 00:20:00.000000,0.824075,55.6305,0.001325,0.042862,14.87619
02/01/2019 00:21:00.000000,0.790861,53.45525,0.001825,48.776923,13.248718
02/01/2019 00:22:00.000000,0.759917,52.32575,0.002125,0.06074,9.57
02/01/2019 00:23:00.000000,0.713274,52.20225,0.0025,38.69,9.42
02/01/2019 00:24:00.000000,0.632805,50.95325,0.003,0.052614,9.885366
02/01/2019 00:25:00.000000,0.585101,50.962,0.002675,45.039024,12.146341
02/01/2019 00:26:00.000000,0.650387,53.213,0.0016,44.475862,13.862069
02/01/2019 00:27:00.000000,0.737895,53.19725,0.001275,66.577778,15.644444
02/01/2019 00:28:00.000000,0.818184,51.5115,0.00245,0.072452,14.090698
02/01/2019 00:29:00.000000,0.767704,51.35775,0.00305,,
02/01/2019 00:30:00.000000,0.606275,54.67275,0.00245,55.83125,12.490625
02/01/2019 00:31:00.000000,0.596828,53.47425,0.002175,0.046919,13.112121
02/01/2019 00:32:00.000000,0.631742,51.21875,0.0033,0.051338,10.853659
02/01/2019 00:33:00.000000,0.609356,51.03275,0.003725,55.11,11.075
02/01/2019 00:34:00.000000,0.577997,51.785,0.002825,62.55,9.777273
02/01/2019 00:35:00.000000,0.644107,51.90325,0.003325,0.074067,10.02
02/01/2019 00:36:00.000000,0.6594,52.36875,0.004625,0.042528,9.144444
02/01/2019 00:37:00.000000,0.564312,50.6665,0.003925,28.506977,8.495349
02/01/2019 00:38:00.000000,0.535278,50.7205,0.002825,0.032799,9.07907
02/01/2019 00:39:00.000000,0.544884,53.89375,0.002325,32.986364,9.345455
02/01/2019 00:40:00.000000,0.600233,51.3755,0.002,0.063553,10.6
02/01/2019 00:41:00.000000,0.624135,54.17225,0.002125,59.622727,10.363636
02/01/2019 00:42:00.000000,0.680595,55.04225,0.0017,0.067404,10.563158
02/01/2019 00:43:00.000000,0.628937,52.9165,0.001425,0.07062,11.756818
02/01/2019 00:44:00.000000,0.64642,54.07325,0.0013,47.2925,11.7775
02/01/2019 00:45:00.000000,0.737036,53.21,0.001325,0.02859,8.586364
02/01/2019 00:46:00.000000,0.700951,51.948,0.001575,0.029588,10.045455
02/01/2019 00:47:00.000000,0.614474,53.73025,0.002,63.195238,12.014286
02/01/2019 00:48:00.000000,0.623279,58.118,0.0015,0.091521,11.5
02/01/2019 00:49:00.000000,0.656206,53.63375,0.001075,54.097297,11.354054
02/01/2019 00:50:00.000000,0.721663,55.092,0.000733,0.074494,12.4
02/01/2019 00:51:00.000000,0.766796,58.3485,0.0009,0.091659,13.88
02/01/2019 00:52:00.000000,0.685256,57.09125,0.001675,0.077288,12.189189
02/01/2019 00:53:00.000000,0.587858,55.0615,0.00195,44.45,12.457143
02/01/2019 00:54:00.000000,0.62153,54.585,0.0015,51.15,12.8
02/01/2019 00:55:00.000000,0.722105,55.29025,0.001575,0.053978,12.303448
