"","X.1","date","X","ID","SensorType","Lat","Long","start_date","date_days","age_days","age_weeks.x","val.humidity","val.pm10","val.pm25_r","val.temperature","flag"
"32",32,"2019-08-06 18:00:00",32,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,15.8,6.73,4.84,95.1,0
"33",33,"2019-08-06 19:00:00",33,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,19.8,8.51,6.25,90.1,0
"34",34,"2019-08-06 19:00:00",34,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,19.8,8.51,6.25,90.1,0
"35",35,"2019-08-06 19:00:00",35,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,19.8,8.51,6.25,90.1,0
"36",36,"2019-08-06 19:00:00",36,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,19.8,8.51,6.25,90.1,0
"37",37,"2019-08-06 20:00:00",37,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,21.6,8.75,6.44,88,0
"38",38,"2019-08-06 20:00:00",38,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,21.6,8.75,6.44,88,0
"39",39,"2019-08-06 20:00:00",39,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,21.6,8.75,6.44,88,0
"40",40,"2019-08-06 20:00:00",40,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,21.6,8.75,6.44,88,0
"41",41,"2019-08-06 21:00:00",41,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,26.2,9.75,7.37,85.4,0
"42",42,"2019-08-06 21:00:00",42,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,26.2,9.75,7.37,85.4,0
"43",43,"2019-08-06 21:00:00",43,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,26.2,9.75,7.37,85.4,0
"44",44,"2019-08-06 21:00:00",44,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,26.2,9.75,7.37,85.4,0
"45",45,"2019-08-06 22:00:00",45,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,32.7,6.63,4.65,82.9,0
"46",46,"2019-08-06 22:00:00",46,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,32.7,6.63,4.65,82.9,0
"47",47,"2019-08-06 22:00:00",47,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,32.7,6.63,4.65,82.9,0
"48",48,"2019-08-06 22:00:00",48,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,32.7,6.63,4.65,82.9,0
"49",49,"2019-08-06 23:00:00",49,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,34.6,6.23,4.31,80,0
"50",50,"2019-08-06 23:00:00",50,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,34.6,6.23,4.31,80,0
"51",51,"2019-08-06 23:00:00",51,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,34.6,6.23,4.31,80,0
"52",52,"2019-08-06 23:00:00",52,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-06",0,0,34.6,6.23,4.31,80,0
"53",53,"2019-08-07 00:00:00",53,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.4,6.46,4.56,78,0
"54",54,"2019-08-07 00:00:00",54,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.4,6.46,4.56,78,0
"55",55,"2019-08-07 00:00:00",55,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.4,6.46,4.56,78,0
"56",56,"2019-08-07 00:00:00",56,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.4,6.46,4.56,78,0
"57",57,"2019-08-07 01:00:00",57,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.4,6.78,4.86,77.6,0
"58",58,"2019-08-07 01:00:00",58,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.4,6.78,4.86,77.6,0
"59",59,"2019-08-07 01:00:00",59,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.4,6.78,4.86,77.6,0
"60",60,"2019-08-07 01:00:00",60,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.4,6.78,4.86,77.6,0
"61",61,"2019-08-07 02:00:00",61,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,36.7,9.45,7.28,76.3,0
"62",62,"2019-08-07 02:00:00",62,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,36.7,9.45,7.28,76.3,0
"63",63,"2019-08-07 02:00:00",63,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,36.7,9.45,7.28,76.3,0
"64",64,"2019-08-07 02:00:00",64,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,36.7,9.45,7.28,76.3,0
"65",65,"2019-08-07 03:00:00",65,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,36.5,14.4,11.3,75.3,0
"66",66,"2019-08-07 03:00:00",66,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,36.5,14.4,11.3,75.3,0
"67",67,"2019-08-07 03:00:00",67,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,36.5,14.4,11.3,75.3,0
"68",68,"2019-08-07 03:00:00",68,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,36.5,14.4,11.3,75.3,0
"69",69,"2019-08-07 04:00:00",69,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,39.4,16.5,13.2,74.1,0
"70",70,"2019-08-07 04:00:00",70,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,39.4,16.5,13.2,74.1,0
"71",71,"2019-08-07 04:00:00",71,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,39.4,16.5,13.2,74.1,0
"72",72,"2019-08-07 04:00:00",72,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,39.4,16.5,13.2,74.1,0
"73",73,"2019-08-07 05:00:00",73,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,44.1,18.1,13.8,72.4,0
"74",74,"2019-08-07 05:00:00",74,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,44.1,18.1,13.8,72.4,0
"75",75,"2019-08-07 05:00:00",75,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,44.1,18.1,13.8,72.4,0
"76",76,"2019-08-07 05:00:00",76,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,44.1,18.1,13.8,72.4,0
"77",77,"2019-08-07 06:00:00",77,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,44,9.72,7.59,75.5,0
"78",78,"2019-08-07 06:00:00",78,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,44,9.72,7.59,75.5,0
"79",79,"2019-08-07 06:00:00",79,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,44,9.72,7.59,75.5,0
"80",80,"2019-08-07 06:00:00",80,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,44,9.72,7.59,75.5,0
"81",81,"2019-08-07 07:00:00",81,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,40.9,8.64,6.55,79.4,0
"82",82,"2019-08-07 07:00:00",82,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,40.9,8.64,6.55,79.4,0
"83",83,"2019-08-07 07:00:00",83,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,40.9,8.64,6.55,79.4,0
"84",84,"2019-08-07 07:00:00",84,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,40.9,8.64,6.55,79.4,0
"85",85,"2019-08-07 08:00:00",85,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.7,8.58,6.3,85,0
"86",86,"2019-08-07 08:00:00",86,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.7,8.58,6.3,85,0
"87",87,"2019-08-07 08:00:00",87,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.7,8.58,6.3,85,0
"88",88,"2019-08-07 08:00:00",88,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.7,8.58,6.3,85,0
"89",89,"2019-08-07 09:00:00",89,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,30.7,8.53,6.33,90.8,0
"90",90,"2019-08-07 09:00:00",90,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,30.7,8.53,6.33,90.8,0
"91",91,"2019-08-07 09:00:00",91,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,30.7,8.53,6.33,90.8,0
"92",92,"2019-08-07 09:00:00",92,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,30.7,8.53,6.33,90.8,0
"93",93,"2019-08-07 10:00:00",93,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,30,9.53,7.2,91.3,0
"94",94,"2019-08-07 10:00:00",94,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,30,9.53,7.2,91.3,0
"95",95,"2019-08-07 10:00:00",95,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,30,9.53,7.2,91.3,0
"96",96,"2019-08-07 10:00:00",96,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,30,9.53,7.2,91.3,0
"97",97,"2019-08-07 11:00:00",97,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,24.7,8.48,6.25,98.2,0
"98",98,"2019-08-07 11:00:00",98,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,24.7,8.48,6.25,98.2,0
"99",99,"2019-08-07 11:00:00",99,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,24.7,8.48,6.25,98.2,0
"100",100,"2019-08-07 11:00:00",100,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,24.7,8.48,6.25,98.2,0
"101",101,"2019-08-07 12:00:00",101,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,22,8.37,6.3,102,0
"102",102,"2019-08-07 12:00:00",102,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,22,8.37,6.3,102,0
"103",103,"2019-08-07 12:00:00",103,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,22,8.37,6.3,102,0
"104",104,"2019-08-07 12:00:00",104,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,22,8.37,6.3,102,0
"105",105,"2019-08-07 13:00:00",105,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,21.5,8.49,6.03,101,0
"106",106,"2019-08-07 13:00:00",106,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,21.5,8.49,6.03,101,0
"107",107,"2019-08-07 13:00:00",107,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,21.5,8.49,6.03,101,0
"108",108,"2019-08-07 13:00:00",108,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,21.5,8.49,6.03,101,0
"109",109,"2019-08-07 14:00:00",109,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,20.9,10.4,7.66,103,0
"110",110,"2019-08-07 14:00:00",110,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,20.9,10.4,7.66,103,0
"111",111,"2019-08-07 14:00:00",111,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,20.9,10.4,7.66,103,0
"112",112,"2019-08-07 14:00:00",112,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,20.9,10.4,7.66,103,0
"113",113,"2019-08-07 15:00:00",113,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,23.3,11.2,8.74,99.3,0
"114",114,"2019-08-07 15:00:00",114,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,23.3,11.2,8.74,99.3,0
"115",115,"2019-08-07 15:00:00",115,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,23.3,11.2,8.74,99.3,0
"116",116,"2019-08-07 15:00:00",116,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,23.3,11.2,8.74,99.3,0
"117",117,"2019-08-07 16:00:00",117,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,27.1,10.8,7.95,94,0
"118",118,"2019-08-07 16:00:00",118,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,27.1,10.8,7.95,94,0
"119",119,"2019-08-07 16:00:00",119,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,27.1,10.8,7.95,94,0
"120",120,"2019-08-07 16:00:00",120,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,27.1,10.8,7.95,94,0
"121",121,"2019-08-07 17:00:00",121,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,33,8.74,6.42,88.7,0
"122",122,"2019-08-07 17:00:00",122,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,33,8.74,6.42,88.7,0
"123",123,"2019-08-07 17:00:00",123,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,33,8.74,6.42,88.7,0
"124",124,"2019-08-07 17:00:00",124,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,33,8.74,6.42,88.7,0
"125",125,"2019-08-07 18:00:00",125,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.7,9.4,7.28,84.9,0
"126",126,"2019-08-07 18:00:00",126,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.7,9.4,7.28,84.9,0
"127",127,"2019-08-07 18:00:00",127,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.7,9.4,7.28,84.9,0
"128",128,"2019-08-07 18:00:00",128,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,35.7,9.4,7.28,84.9,0
"129",129,"2019-08-07 19:00:00",129,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,38.3,8.58,6.23,83,0
"130",130,"2019-08-07 19:00:00",130,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,38.3,8.58,6.23,83,0
"131",131,"2019-08-07 19:00:00",131,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,38.3,8.58,6.23,83,0
"132",132,"2019-08-07 19:00:00",132,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,38.3,8.58,6.23,83,0
"133",133,"2019-08-07 20:00:00",133,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,42.2,8.6,6.22,81.4,0
"134",134,"2019-08-07 20:00:00",134,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,42.2,8.6,6.22,81.4,0
"135",135,"2019-08-07 20:00:00",135,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,42.2,8.6,6.22,81.4,0
"136",136,"2019-08-07 20:00:00",136,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,42.2,8.6,6.22,81.4,0
"137",137,"2019-08-07 21:00:00",137,"STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity",39.69954,-105.02938,"2019-08-06","2019-08-07",1,0,49.1,8.51,5.93,78.5,0
