InstrumentName, Canary-CDPHE-1
StartTime, 2021-09-01 00:00:00
EndTime, 2021-10-01 00:00:00
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Time,Uncertainty,datetime,source_device
09/01/2021 00:00:04,0.0,0.0,0.0,5.52,,,0.0,46.58,0.0,21.63,0.0,37.23,-69.0,96.55,,2492.0,,
09/01/2021 00:01:05,0.0,0.0,0.0,5.86,,,0.0,45.22,0.0,21.52,0.0,35.92,-69.0,96.49,,2492.0,,
09/01/2021 00:02:05,0.0,0.0,0.0,5.73,,,0.0,43.08,0.0,22.0,0.0,34.75,-71.0,96.35,,2492.0,,
09/01/2021 00:03:05,0.0,0.0,0.0,5.77,,,0.0,46.92,0.0,22.15,0.0,36.67,-71.0,96.22,,2492.0,,
09/01/2021 00:04:05,0.0,0.0,0.0,5.67,,,0.0,48.65,0.0,22.1,0.0,38.13,-71.0,96.01,,2492.0,,
09/01/2021 00:05:05,0.0,0.0,0.0,5.67,,,0.0,45.75,0.0,21.9,0.0,36.37,-69.0,96.04,,2492.0,,
09/01/2021 00:06:04,0.0,0.0,0.0,5.74,,,0.0,43.78,0.0,21.92,0.0,35.67,-71.0,95.99,,2492.0,,
09/01/2021 00:07:05,0.0,0.0,0.0,5.79,,,0.0,42.93,0.0,21.32,0.0,35.4,-71.0,95.94,,2492.0,,
09/01/2021 00:08:05,0.0,0.0,0.0,5.86,,,0.0,43.72,0.0,21.33,0.0,35.52,-71.0,95.79,,2492.0,,
09/01/2021 00:09:06,0.0,0.0,0.0,5.92,,,0.0,44.97,0.0,21.85,0.0,34.83,-71.0,95.81,,2492.0,,
09/01/2021 00:10:05,0.0,0.0,0.0,5.81,,,0.0,45.93,0.0,22.0,0.0,36.53,-71.0,95.68,,2492.0,,
09/01/2021 00:11:06,0.0,0.0,0.0,5.91,,,0.0,47.0,0.0,21.8,0.0,37.17,-71.0,95.59,,2492.0,,
09/01/2021 00:12:05,0.0,0.0,0.0,5.99,,,0.0,47.33,0.0,21.97,0.0,36.0,-71.0,95.61,,2492.0,,
09/01/2021 00:13:05,0.0,0.0,0.0,5.99,,,0.0,47.07,0.0,21.67,0.0,37.13,-71.0,95.59,,2492.0,,
09/01/2021 00:14:04,0.0,0.0,0.0,5.98,,,0.0,45.62,0.0,22.07,0.0,36.87,-71.0,95.47,,2492.0,,
09/01/2021 00:15:05,0.0,0.0,0.0,5.87,,,0.0,44.93,0.0,21.9,0.0,35.25,-71.0,95.32,,2492.0,,
09/01/2021 00:16:05,0.0,0.0,0.0,6.0,,,0.0,43.05,0.0,21.75,0.0,34.65,-71.0,95.22,,2492.0,,
09/01/2021 00:17:06,0.0,0.0,0.0,5.92,,,0.0,43.83,0.0,21.35,0.0,35.77,-71.0,95.09,,2492.0,,
09/01/2021 00:18:05,0.0,0.0,0.0,5.92,,,0.0,43.3,0.0,20.35,0.0,34.62,-71.0,95.05,,2492.0,,
09/01/2021 00:19:03,0.0,0.0,0.0,6.04,,,0.0,46.75,0.0,22.23,0.0,37.4,-71.0,95.04,,2492.0,,
09/01/2021 00:20:05,0.0,0.0,0.0,6.08,,,0.0,45.63,0.0,21.12,0.0,36.58,-71.0,95.07,,2492.0,,
09/01/2021 00:21:06,0.0,0.0,0.0,6.02,,,0.0,44.67,0.0,21.62,0.0,34.77,-71.0,95.07,,2492.0,,
09/01/2021 00:22:04,0.0,1.0,0.0,6.08,,,0.0,45.27,0.0,22.27,0.0,36.22,-71.0,94.98,,2492.0,,
