InstrumentName, STRIVE Prep Smart (CS35)
StartTime, 2021-08-01 00:00:00
EndTime, 2021-09-01 00:00:00
Date,B,EH,ET,ICCID,IH,IT,P,PM10,PM1_0,PM2_5,PM2_5_p,Sig,Time,WD,WS
08/05/2021 22:19:00,12.638,-1.0,-1.0,,4.68,111.62,837.64,44.88,21.76,36.57,30.56,0.0,,-1.0,-1.0
08/05/2021 22:20:00,12.643,-1.0,-1.0,,4.61,111.58,837.63,42.1,21.41,35.22,29.404,0.0,,-1.0,-1.0
08/05/2021 22:21:00,12.706,-1.0,-1.0,,4.25,111.73,837.62,41.16,21.38,34.21,28.548,0.0,,-1.0,-1.0
08/05/2021 22:22:00,12.533,-1.0,-1.0,,4.09,111.85,837.63,40.55,20.66,34.65,28.93,0.0,,-1.0,-1.0
08/05/2021 22:23:00,12.605,-1.0,-1.0,,4.24,112.08,837.61,33.88,18.03,30.6,25.445,0.0,,-1.0,-1.0
08/05/2021 22:24:00,12.528,-1.0,-1.0,,4.24,112.37,837.58,37.54,20.29,32.82,27.347,0.0,,-1.0,-1.0
08/05/2021 22:25:00,12.629,-1.0,-1.0,,3.98,112.55,837.59,41.47,21.69,34.94,29.174,0.0,,-1.0,-1.0
08/05/2021 22:26:00,12.581,-1.0,-1.0,,3.83,112.64,837.57,42.96,22.15,35.53,29.685,0.0,,-1.0,-1.0
08/05/2021 22:27:01,12.586,-1.0,-1.0,,4.22,112.96,837.56,43.88,22.47,36.06,30.122,0.0,,-1.0,-1.0
08/05/2021 22:28:01,12.542,-1.0,-1.0,,4.21,113.23,837.56,39.28,20.46,33.33,27.775,0.0,,-1.0,-1.0
08/05/2021 22:29:00,12.576,-1.0,-1.0,,4.28,113.44,837.57,43.48,22.01,35.92,29.993,0.0,,-1.0,-1.0
08/05/2021 22:30:00,12.653,-1.0,-1.0,,4.21,113.57,837.57,44.21,22.17,36.19,30.226,0.0,,-1.0,-1.0
08/05/2021 22:31:00,12.518,-1.0,-1.0,,4.14,113.66,837.57,44.28,22.16,35.86,29.944,0.0,,-1.0,-1.0
08/05/2021 22:32:00,12.61,-1.0,-1.0,,4.11,113.65,837.55,42.38,21.9,35.43,29.576,0.0,,-1.0,-1.0
08/05/2021 22:33:00,12.605,-1.0,-1.0,,3.81,113.55,837.53,45.51,22.88,37.94,31.743,0.0,,-1.0,-1.0
08/05/2021 22:34:00,12.518,-1.0,-1.0,,3.84,113.37,837.53,44.22,22.58,37.29,31.186,0.0,,-1.0,-1.0
08/05/2021 22:35:00,12.528,-1.0,-1.0,,3.7,113.22,837.52,45.68,23.11,37.65,31.503,0.0,,-1.0,-1.0
08/05/2021 22:36:00,12.72,-1.0,-1.0,,3.83,113.24,837.53,43.86,21.93,36.41,30.433,0.0,,-1.0,-1.0
