InstrumentName, Pedestrian Bridge
StartTime, 2021-08-01 00:00:00
EndTime, 2021-09-01 00:00:00
Date,ICCID,IH,IT,P,PM10,PM1_0,PM2_5,Time,WD,WS
08/01/2021 00:01:00,,79.08,66.04,851.28,51.07,22.92,40.02,,-1.0,-1.0
08/01/2021 00:02:00,,79.4,65.98,851.27,51.53,22.47,39.3,,-1.0,-1.0
08/01/2021 00:03:00,,79.88,65.91,851.24,51.43,23.17,40.43,,-1.0,-1.0
08/01/2021 00:04:00,,80.12,65.87,851.22,49.76,22.81,38.93,,-1.0,-1.0
08/01/2021 00:05:00,,80.25,65.85,851.22,53.25,22.87,40.7,,-1.0,-1.0
08/01/2021 00:06:00,,80.47,65.85,851.2,50.37,22.97,39.67,,-1.0,-1.0
08/01/2021 00:07:00,,80.51,65.85,851.19,51.22,23.31,40.31,,-1.0,-1.0
08/01/2021 00:08:00,,80.34,65.84,851.17,51.88,23.65,40.44,,-1.0,-1.0
08/01/2021 00:09:00,,80.34,65.79,851.15,53.42,23.31,40.91,,-1.0,-1.0
08/01/2021 00:10:00,,80.42,65.77,851.13,51.76,23.58,40.6,,-1.0,-1.0
08/01/2021 00:11:00,,80.2,65.71,851.14,52.97,23.9,40.76,,-1.0,-1.0
08/01/2021 00:12:00,,80.05,65.65,851.16,50.95,23.44,39.87,,-1.0,-1.0
08/01/2021 00:13:00,,80.45,65.61,851.17,53.1,23.59,41.1,,-1.0,-1.0
08/01/2021 00:14:00,,80.7,65.61,851.15,50.78,23.17,40.22,,-1.0,-1.0
08/01/2021 00:15:00,,80.48,65.61,851.15,53.39,22.84,40.19,,-1.0,-1.0
08/01/2021 00:16:00,,80.55,65.6,851.14,54.26,23.5,41.17,,-1.0,-1.0
08/01/2021 00:18:00,,81.27,65.52,851.13,60.28,29.22,47.32,,-1.0,-1.0
08/01/2021 00:19:18,,81.53,65.54,851.13,54.59,25.12,43.08,,-1.0,-1.0
08/01/2021 00:20:00,,81.57,65.58,851.14,53.25,24.16,41.87,,-1.0,-1.0
08/01/2021 00:21:00,,81.32,65.61,851.15,52.92,24.08,41.35,,-1.0,-1.0
08/01/2021 00:22:00,,80.62,65.64,851.12,51.88,24.51,40.97,,-1.0,-1.0
08/01/2021 00:23:00,,80.11,65.69,851.14,53.81,24.62,42.1,,-1.0,-1.0
08/01/2021 00:25:14,,80.44,65.63,851.14,52.75,23.29,40.85,,-1.0,-1.0
08/01/2021 00:26:00,,80.95,65.62,851.17,52.1,22.94,40.72,,-1.0,-1.0
08/01/2021 00:27:00,,80.94,65.61,851.15,54.52,24.03,42.09,,-1.0,-1.0
08/01/2021 00:28:00,,80.16,65.64,851.15,55.32,23.61,42.33,,-1.0,-1.0
08/01/2021 00:29:00,,79.75,65.6,851.17,54.99,24.48,42.78,,-1.0,-1.0
08/01/2021 00:30:00,,80.14,65.53,851.18,55.38,23.69,42.09,,-1.0,-1.0
08/01/2021 00:31:00,,80.45,65.51,851.18,56.53,24.83,43.57,,-1.0,-1.0
08/01/2021 00:32:00,,80.65,65.5,851.16,55.03,25.18,43.07,,-1.0,-1.0
08/01/2021 00:33:00,,80.52,65.51,851.15,56.28,24.96,43.71,,-1.0,-1.0
08/01/2021 00:34:00,,80.39,65.46,851.13,57.59,26.33,45.7,,-1.0,-1.0
08/01/2021 00:35:00,,80.44,65.48,851.15,56.39,25.29,43.99,,-1.0,-1.0
08/01/2021 00:36:00,,80.25,65.45,851.15,56.66,25.3,43.21,,-1.0,-1.0
08/01/2021 00:37:00,,80.15,65.45,851.14,56.79,25.72,43.59,,-1.0,-1.0
08/01/2021 00:38:00,,80.29,65.43,851.15,58.14,25.58,43.75,,-1.0,-1.0
08/01/2021 00:39:01,,80.4,65.4,851.15,55.2,25.3,43.31,,-1.0,-1.0
08/01/2021 00:40:00,,80.74,65.35,851.17,55.31,24.83,43.02,,-1.0,-1.0
08/01/2021 00:41:00,,81.0,65.31,851.2,55.93,25.32,43.67,,-1.0,-1.0
08/01/2021 00:42:00,,81.22,65.26,851.18,55.36,25.33,43.11,,-1.0,-1.0
08/01/2021 00:43:00,,80.97,65.31,851.22,56.87,25.07,43.72,,-1.0,-1.0
08/01/2021 00:44:00,,80.79,65.39,851.22,56.01,24.77,42.67,,-1.0,-1.0
08/01/2021 00:45:00,,80.7,65.45,851.22,54.98,24.95,42.39,,-1.0,-1.0
08/01/2021 00:46:00,,80.46,65.48,851.24,55.49,24.75,42.72,,-1.0,-1.0
08/01/2021 00:47:00,,80.54,65.46,851.24,54.59,24.83,42.37,,-1.0,-1.0
08/01/2021 00:48:00,,80.72,65.44,851.26,55.18,25.35,43.08,,-1.0,-1.0
08/01/2021 00:49:00,,80.84,65.45,851.27,54.78,25.41,43.33,,-1.0,-1.0
08/01/2021 00:51:00,,81.42,65.46,851.28,68.6,34.43,55.02,,-1.0,-1.0
08/01/2021 00:52:00,,81.61,65.42,851.31,59.38,27.52,45.83,,-1.0,-1.0
08/01/2021 00:53:00,,81.45,65.43,851.33,55.72,26.11,43.65,,-1.0,-1.0
08/01/2021 00:54:00,,80.9,65.49,851.33,53.19,24.23,42.09,,-1.0,-1.0
08/01/2021 00:55:00,,80.81,65.52,851.31,54.81,25.13,43.74,,-1.0,-1.0
08/01/2021 00:56:00,,80.96,65.52,851.32,54.8,24.61,42.68,,-1.0,-1.0
08/01/2021 00:57:00,,80.95,65.52,851.35,54.37,24.97,43.15,,-1.0,-1.0
08/01/2021 00:58:00,,80.41,65.51,851.36,56.06,24.38,42.54,,-1.0,-1.0
08/01/2021 00:59:00,,80.13,65.47,851.37,52.59,23.82,41.46,,-1.0,-1.0
08/01/2021 01:00:00,,80.21,65.41,851.36,53.97,23.95,41.53,,-1.0,-1.0
08/01/2021 01:01:00,,80.74,65.34,851.34,52.8,23.85,40.82,,-1.0,-1.0
08/01/2021 01:02:00,,80.51,65.31,851.34,54.79,24.09,42.12,,-1.0,-1.0
08/01/2021 01:03:00,,80.6,65.3,851.35,54.19,23.28,41.12,,-1.0,-1.0
08/01/2021 01:04:00,,80.97,65.34,851.36,56.46,25.0,43.35,,-1.0,-1.0
08/01/2021 01:05:00,,80.9,65.34,851.36,52.8,24.76,41.56,,-1.0,-1.0
08/01/2021 01:06:00,,80.67,65.32,851.35,53.54,24.14,41.66,,-1.0,-1.0
08/01/2021 01:07:00,,79.61,65.31,851.35,50.76,21.99,39.59,,-1.0,-1.0
08/01/2021 01:08:00,,79.73,65.3,851.34,54.43,24.22,41.81,,-1.0,-1.0
08/01/2021 01:09:00,,79.58,65.27,851.37,52.62,24.42,41.62,,-1.0,-1.0
08/01/2021 01:10:00,,79.68,65.22,851.36,53.03,24.02,41.49,,-1.0,-1.0
08/01/2021 01:11:00,,79.68,65.12,851.33,53.75,23.81,41.16,,-1.0,-1.0
08/01/2021 01:12:00,,79.83,65.11,851.32,51.24,23.46,40.05,,-1.0,-1.0
08/01/2021 01:13:00,,79.93,65.11,851.32,50.97,23.69,40.53,,-1.0,-1.0
08/01/2021 01:14:00,,79.68,65.18,851.3,51.82,23.08,40.39,,-1.0,-1.0
08/01/2021 01:15:00,,79.05,65.21,851.3,52.66,23.78,40.86,,-1.0,-1.0
08/01/2021 01:16:00,,79.2,65.13,851.3,52.37,23.52,40.82,,-1.0,-1.0
08/01/2021 01:17:00,,79.21,65.1,851.29,52.73,23.82,41.24,,-1.0,-1.0
08/01/2021 01:18:00,,78.97,65.09,851.29,50.61,23.55,40.64,,-1.0,-1.0
08/01/2021 01:19:00,,78.81,65.05,851.3,50.42,21.56,39.03,,-1.0,-1.0
08/01/2021 01:20:00,,78.89,65.02,851.3,52.8,24.14,41.38,,-1.0,-1.0
08/01/2021 01:21:00,,78.86,64.98,851.31,52.83,23.74,41.38,,-1.0,-1.0
08/01/2021 01:22:00,,78.81,64.96,851.32,52.42,24.52,40.94,,-1.0,-1.0
08/01/2021 01:23:00,,78.18,64.94,851.32,55.37,24.53,42.18,,-1.0,-1.0
08/01/2021 01:24:00,,78.61,64.89,851.32,53.9,23.98,41.28,,-1.0,-1.0
08/01/2021 01:25:01,,78.71,64.88,851.33,51.35,21.86,39.69,,-1.0,-1.0
08/01/2021 01:26:00,,78.93,64.89,851.31,50.63,22.67,39.78,,-1.0,-1.0
08/01/2021 01:27:00,,79.15,64.87,851.31,52.07,24.11,41.33,,-1.0,-1.0
08/01/2021 01:28:00,,79.28,64.85,851.3,54.54,24.52,41.9,,-1.0,-1.0
08/01/2021 01:29:00,,79.13,64.88,851.29,52.54,23.83,41.31,,-1.0,-1.0
08/01/2021 01:30:00,,79.6,64.87,851.27,54.05,23.54,41.51,,-1.0,-1.0
08/01/2021 01:31:00,,79.05,64.92,851.27,52.86,24.61,41.76,,-1.0,-1.0
08/01/2021 01:32:00,,78.27,64.95,851.27,54.79,24.46,42.36,,-1.0,-1.0
08/01/2021 01:33:00,,78.3,64.96,851.27,52.62,24.2,41.76,,-1.0,-1.0
08/01/2021 01:34:00,,78.62,64.9,851.28,52.87,24.16,41.5,,-1.0,-1.0
08/01/2021 01:35:00,,78.12,64.93,851.27,52.32,24.17,41.7,,-1.0,-1.0
08/01/2021 01:36:00,,77.98,64.99,851.26,51.29,24.91,40.92,,-1.0,-1.0
08/01/2021 01:37:00,,77.92,64.97,851.24,52.41,23.45,40.5,,-1.0,-1.0
08/01/2021 01:38:00,,77.76,64.94,851.25,51.77,23.93,40.94,,-1.0,-1.0
08/01/2021 01:39:00,,77.21,64.95,851.24,52.05,24.12,40.7,,-1.0,-1.0
08/01/2021 01:40:00,,77.48,64.89,851.22,51.42,22.86,39.47,,-1.0,-1.0
08/01/2021 01:41:00,,77.85,64.88,851.23,51.0,23.38,40.67,,-1.0,-1.0
08/01/2021 01:42:00,,78.02,64.91,851.24,53.17,24.12,41.43,,-1.0,-1.0
08/01/2021 01:43:00,,78.11,64.98,851.24,52.67,23.65,41.1,,-1.0,-1.0
08/01/2021 01:44:00,,77.71,65.01,851.23,52.78,23.4,39.79,,-1.0,-1.0
08/01/2021 01:45:01,,77.6,65.06,851.22,51.74,22.12,40.0,,-1.0,-1.0
08/01/2021 01:46:01,,77.82,65.04,851.23,52.73,23.65,40.87,,-1.0,-1.0
08/01/2021 01:47:00,,78.01,64.99,851.23,52.01,23.47,40.82,,-1.0,-1.0
08/01/2021 01:48:00,,77.62,65.07,851.21,51.82,22.82,39.85,,-1.0,-1.0
08/01/2021 01:49:00,,77.67,65.09,851.22,52.73,23.64,39.56,,-1.0,-1.0
08/01/2021 01:50:00,,77.59,65.14,851.2,51.68,23.25,40.58,,-1.0,-1.0
08/01/2021 01:51:00,,76.99,65.16,851.19,50.49,23.29,39.69,,-1.0,-1.0
08/01/2021 01:52:00,,77.12,65.11,851.18,49.53,22.7,39.11,,-1.0,-1.0
08/01/2021 01:53:00,,77.26,65.09,851.2,48.59,22.54,38.03,,-1.0,-1.0
08/01/2021 01:54:00,,76.78,65.15,851.2,50.61,23.19,39.88,,-1.0,-1.0
08/01/2021 01:55:00,,76.45,65.19,851.2,51.52,23.93,40.7,,-1.0,-1.0
08/01/2021 01:56:00,,76.5,65.21,851.2,50.43,23.58,39.68,,-1.0,-1.0
08/01/2021 01:57:00,,76.3,65.22,851.2,47.8,21.74,37.76,,-1.0,-1.0
