InstrumentName, Canary-DN-2,,,,,,
StartTime, 2020-08-01 00:00:00,,,,,,
EndTime, 2020-08-31 23:59:59,,,,,,
Date,IH,IT,P,TVOC,TVOC_Cal,WD,WS
08/05/2020 18:19:02.000000,32.91,78.82,841.44,0.229,,119.8,0.0
08/05/2020 18:20:01.000000,32.82,78.91,841.45,0.216,,180.0,0.0
08/05/2020 18:21:00.000000,32.71,78.98,841.46,0.243,,180.0,0.0
08/05/2020 18:22:03.000000,32.64,79.03,841.46,0.234,,180.0,0.0
08/05/2020 18:23:02.000000,32.58,79.09,841.41,0.228,,180.0,0.0
08/05/2020 18:24:02.000000,32.48,79.12,841.4,0.273,,180.0,0.0
08/05/2020 18:25:01.000000,32.4,79.18,841.39,0.242,,103.7,0.0
08/05/2020 18:26:01.000000,32.33,79.21,841.43,0.236,,180.0,0.0
08/05/2020 18:27:01.000000,32.27,79.25,841.38,0.23,,180.0,0.0
08/05/2020 18:28:02.000000,32.18,79.27,841.27,0.233,,180.0,0.0
08/05/2020 18:29:02.000000,32.11,79.29,841.3,0.244,,180.0,0.0
08/05/2020 18:30:01.000000,32.06,79.32,841.29,0.258,,180.0,0.0
08/05/2020 18:31:00.000000,31.98,79.34,841.28,0.216,,180.0,0.0
08/05/2020 18:32:01.000000,31.95,79.34,841.31,0.247,,180.0,0.0
08/05/2020 18:33:00.000000,31.89,79.36,841.32,0.248,,180.0,0.0
08/05/2020 18:34:01.000000,31.83,79.38,841.32,0.251,,180.0,0.0
08/05/2020 18:35:00.000000,31.79,79.36,841.27,0.254,,180.0,0.0
08/05/2020 18:36:02.000000,31.73,79.38,841.24,0.207,,180.0,0.0
08/05/2020 18:37:02.000000,31.71,79.38,841.24,0.242,,180.0,0.0
08/05/2020 18:38:02.000000,31.7,79.38,841.25,0.241,,101.7,0.0
08/05/2020 18:39:02.000000,31.65,79.38,841.19,0.252,,96.0,0.0
08/05/2020 18:40:00.000000,31.55,79.41,841.11,0.24,,266.42,0.0
08/05/2020 18:41:02.000000,31.37,79.54,841.07,0.275,,131.5,0.0
08/05/2020 18:42:01.000000,31.28,79.57,840.99,0.256,,270.0,0.0
08/05/2020 18:43:02.000000,31.14,79.57,841.01,0.241,,270.0,0.0
08/05/2020 18:44:01.000000,31.04,79.56,840.98,0.229,,270.0,0.0
08/05/2020 18:45:02.000000,31.03,79.56,840.93,0.236,,270.0,0.0
08/05/2020 18:46:01.000000,31.01,79.54,841.02,0.246,,270.0,0.0
08/05/2020 18:47:03.000000,30.98,79.54,841.02,0.231,,270.0,0.0
08/05/2020 18:48:00.000000,30.87,79.56,840.97,0.193,,270.0,0.0
08/05/2020 18:49:01.000000,30.86,79.54,840.97,0.258,,270.0,0.0
08/05/2020 18:50:01.000000,30.85,79.54,840.92,0.257,,270.0,0.0
08/05/2020 18:51:02.000000,30.84,79.54,840.9,0.21,,270.0,0.0
08/05/2020 18:52:00.000000,30.81,79.54,840.92,0.229,,270.0,0.0
08/05/2020 18:53:02.000000,30.81,79.56,840.9,0.224,,270.0,0.0
08/05/2020 18:54:02.000000,30.73,79.57,840.81,0.236,,270.0,0.0
08/05/2020 18:55:01.000000,30.73,79.59,840.8,0.212,,126.53,0.01
