InstrumentName, I25 Denver,,,
StartTime, 2019-10-01 00:00:00,,,
EndTime, 2019-10-31 23:59:59,,,
Date,Carbon monoxide,Nitrogen dioxide,PM2.5 - Local Conditions,PM2.5 Total Atmospheric
10/01/2019 00:00:00.000000,0.68971,20.77885,,5.316667
10/01/2019 00:01:00.000000,0.558983,20.34925,,4.025
10/01/2019 00:02:00.000000,0.428253,20.152488,,5.091667
10/01/2019 00:03:00.000000,0.519688,19.716484,,5.108333
10/01/2019 00:04:00.000000,0.592152,19.330547,,3.358333
10/01/2019 00:05:00.000000,0.623629,18.342695,,3.658333
10/01/2019 00:06:00.000000,0.536439,25.567965,,6.633333
10/01/2019 00:07:00.000000,0.581016,17.641084,,4.975
10/01/2019 00:08:00.000000,0.45875,27.981327,,7.55
10/01/2019 00:09:00.000000,0.526355,22.057549,,5.05
10/01/2019 00:10:00.000000,0.530434,26.553623,,3.333333
10/01/2019 00:11:00.000000,0.568308,35.948168,,5.4
10/01/2019 00:12:00.000000,0.777252,28.88778,,4.408333
10/01/2019 00:13:00.000000,0.676188,25.474665,,4.85
10/01/2019 00:14:00.000000,0.757077,39.803125,,3.983333
10/01/2019 00:15:00.000000,0.655392,34.312492,,4.725
10/01/2019 00:16:00.000000,0.578024,30.281201,,9.108333
10/01/2019 00:17:00.000000,0.691363,24.849899,,7.116667
10/01/2019 00:18:00.000000,0.724719,20.566495,,4.15
10/01/2019 00:19:00.000000,0.582929,25.101714,,3.441667
10/01/2019 00:20:00.000000,0.616434,27.141544,,5.966667
10/01/2019 00:21:00.000000,0.540451,21.435099,,12.158333
10/01/2019 00:22:00.000000,0.38912,12.041049,,6.283333
10/01/2019 00:23:00.000000,0.285293,14.88563,,5.058333
10/01/2019 00:24:00.000000,0.439839,14.788694,,6.558333
10/01/2019 00:25:00.000000,0.369596,14.44666,,7.25
10/01/2019 00:26:00.000000,0.258618,13.450938,,4.458333
10/01/2019 00:27:00.000000,0.23067,12.085134,,5.208333
10/01/2019 00:28:00.000000,0.243566,10.990883,,3.558333
10/01/2019 00:29:00.000000,0.237797,10.22145,,5.05
10/01/2019 00:30:00.000000,0.220056,9.572028,,5.383333
10/01/2019 00:31:00.000000,0.227915,8.432595,,4.758333
10/01/2019 00:32:00.000000,0.251593,8.342465,,6.35
10/01/2019 00:33:00.000000,0.269313,9.914823,,5.308333
10/01/2019 00:34:00.000000,0.246226,11.573718,,4.833333
10/01/2019 00:35:00.000000,0.230777,11.908544,,5.258333
10/01/2019 00:36:00.000000,0.266342,13.303289,,6.766667
10/01/2019 00:37:00.000000,0.318436,14.156911,,7.358333
10/01/2019 00:38:00.000000,0.260671,14.394937,,4.925
10/01/2019 00:39:00.000000,0.224992,13.792313,,6.258333
10/01/2019 00:40:00.000000,0.252744,11.948086,,4.108333
10/01/2019 00:41:00.000000,0.229815,10.90544,,3.533333
10/01/2019 00:42:00.000000,0.259033,9.594639,,6.891667
10/01/2019 00:43:00.000000,0.257884,7.294214,,4.541667
10/01/2019 00:44:00.000000,0.230842,6.374158,,6.041667
10/01/2019 00:45:00.000000,0.299993,5.941853,,4.366667
10/01/2019 00:46:00.000000,0.271134,5.519269,,4.016667
10/01/2019 00:47:00.000000,0.272413,5.249357,,4.091667
10/01/2019 00:48:00.000000,0.41455,5.425614,,4.65
10/01/2019 00:49:00.000000,0.330145,6.008885,,4.333333
10/01/2019 00:50:00.000000,0.235322,6.888264,,5.033333
10/01/2019 00:51:00.000000,0.268173,7.73699,,4.091667
10/01/2019 00:52:00.000000,0.24963,8.126184,,6.291667
10/01/2019 00:53:00.000000,0.243557,8.95287,,5.583333
10/01/2019 00:54:00.000000,0.22012,9.273146,,3.85
10/01/2019 00:55:00.000000,0.210734,9.273326,,4.341667
10/01/2019 00:56:00.000000,0.225524,9.024563,,3.941667
10/01/2019 00:57:00.000000,0.265833,8.593156,,6.191667
10/01/2019 00:58:00.000000,0.298309,8.308249,,4.016667
10/01/2019 00:59:00.000000,0.274392,8.287868,,5.266667
10/01/2019 01:00:00.000000,0.21893,8.244554,,3.566667
10/01/2019 01:01:00.000000,0.217879,8.593731,,3.125
10/01/2019 01:02:00.000000,0.250505,9.172885,,5.85
10/01/2019 01:03:00.000000,0.273468,10.016924,,4.908333
10/01/2019 01:04:00.000000,0.27982,10.899266,,3.791667
10/01/2019 01:05:00.000000,0.259247,10.898636,,4.616667
10/01/2019 01:06:00.000000,0.226989,10.5808,,3.05
10/01/2019 01:07:00.000000,0.222994,9.982951,,4.091667
10/01/2019 01:08:00.000000,0.186859,9.091146,,4.475
10/01/2019 01:09:00.000000,0.20775,7.851424,,5.508333
10/01/2019 01:10:00.000000,0.203665,6.844501,,3.216667
10/01/2019 01:11:00.000000,0.22429,6.164687,,6.575
10/01/2019 01:12:00.000000,0.226794,6.24518,,6.166667
10/01/2019 01:13:00.000000,0.242332,6.651673,,3.808333
10/01/2019 01:14:00.000000,0.266866,7.277253,,3.508333
10/01/2019 01:15:00.000000,0.261341,8.259589,,4.691667
10/01/2019 01:16:00.000000,0.280952,9.059823,,4.8
10/01/2019 01:17:00.000000,0.281423,9.617163,,4.525
10/01/2019 01:18:00.000000,0.26808,10.151615,,4.591667
10/01/2019 01:19:00.000000,0.216033,10.54561,,6.341667
10/01/2019 01:20:00.000000,0.201871,10.876271,,4.85
10/01/2019 01:21:00.000000,0.245388,11.244805,,3.875
10/01/2019 01:22:00.000000,0.316812,11.224853,,5.633333
10/01/2019 01:23:00.000000,0.347726,10.913556,,4.791667
10/01/2019 01:24:00.000000,0.300475,10.299397,,32.658333
10/01/2019 01:25:00.000000,0.388309,9.495155,,9.35
10/01/2019 01:26:00.000000,0.330935,8.767155,,4.616667
10/01/2019 01:27:00.000000,0.228431,8.132024,,7.241667
10/01/2019 01:28:00.000000,0.223441,7.277121,,6.4
10/01/2019 01:29:00.000000,0.211564,6.969493,,5.475
10/01/2019 01:30:00.000000,0.224172,7.238055,,6.591667
10/01/2019 01:31:00.000000,0.219009,7.417786,,9.083333
10/01/2019 01:32:00.000000,0.219061,7.852488,,5.175
10/01/2019 01:33:00.000000,0.234886,8.452823,,5.716667
10/01/2019 01:34:00.000000,0.282354,10.046366,,6.35
10/01/2019 01:35:00.000000,0.270342,11.047572,,4.841667
10/01/2019 01:36:00.000000,0.24236,11.646699,,4.883333
10/01/2019 01:37:00.000000,0.248429,12.415353,,6.275
10/01/2019 01:38:00.000000,0.285649,13.15319,,7.958333
10/01/2019 01:39:00.000000,0.295757,13.845229,,6.541667
10/01/2019 01:40:00.000000,0.2606,13.796911,,7.041667
10/01/2019 01:41:00.000000,0.26699,12.997282,,4.533333
10/01/2019 01:42:00.000000,0.396635,12.996495,,4.025
10/01/2019 01:43:00.000000,0.464935,12.390254,,4.825
10/01/2019 01:44:00.000000,0.249617,11.391627,,4.808333
10/01/2019 01:45:00.000000,0.237319,10.656358,,3.975
10/01/2019 01:46:00.000000,0.286262,9.964321,,7.291667
10/01/2019 01:47:00.000000,0.342155,9.104214,,4.758333
10/01/2019 01:48:00.000000,0.277052,8.705059,,5.233333
10/01/2019 01:49:00.000000,0.274811,8.45507,,3.833333
10/01/2019 01:50:00.000000,0.272524,9.15173,,4.066667
10/01/2019 01:51:00.000000,0.298411,9.895298,,4.466667
10/01/2019 01:52:00.000000,0.314263,10.063499,,4.041667
10/01/2019 01:53:00.000000,0.287728,10.58911,,5.1
10/01/2019 01:54:00.000000,0.252491,5.906594,,6.666667
10/01/2019 01:55:00.000000,0.238422,16.775205,,5.883333
10/01/2019 01:56:00.000000,0.35904,18.192245,,5.066667
10/01/2019 01:57:00.000000,0.410193,16.136847,,3.9
10/01/2019 01:58:00.000000,0.406179,15.870582,,5.541667
10/01/2019 01:59:00.000000,0.53545,16.128325,,4.783333
10/01/2019 02:00:00.000000,0.422683,15.911877,,6.533333
10/01/2019 02:01:00.000000,0.362413,15.791282,,5.416667
10/01/2019 02:02:00.000000,0.33473,14.460772,,4.883333
10/01/2019 02:03:00.000000,0.292201,13.968816,,4.133333
10/01/2019 02:04:00.000000,0.407425,13.579194,,4.916667
10/01/2019 02:05:00.000000,0.393121,12.216148,,4.1
10/01/2019 02:06:00.000000,0.282483,10.791877,,4.316667
10/01/2019 02:07:00.000000,0.269044,10.23186,,4.316667
10/01/2019 02:08:00.000000,0.298308,9.954326,,4.3
10/01/2019 02:09:00.000000,0.258427,9.578938,,4.216667
10/01/2019 02:10:00.000000,0.209679,8.16636,,4.7
10/01/2019 02:11:00.000000,0.234729,8.031038,,5.05
10/01/2019 02:12:00.000000,0.246734,7.62605,,5.1
10/01/2019 02:13:00.000000,0.218619,7.0715,,4.6
10/01/2019 02:14:00.000000,0.210764,5.835432,,5.416667
10/01/2019 02:15:00.000000,0.218074,5.360202,,4.85
10/01/2019 02:16:00.000000,0.24622,6.538849,,6.116667
10/01/2019 02:17:00.000000,0.287795,7.578864,,5.15
10/01/2019 02:18:00.000000,0.247318,8.196324,,6.4
10/01/2019 02:19:00.000000,0.230493,9.188542,,6.366667
10/01/2019 02:20:00.000000,0.273861,10.124936,,5.716667
10/01/2019 02:21:00.000000,0.287471,11.203237,,4.85
10/01/2019 02:22:00.000000,0.259822,11.927586,,5.116667
10/01/2019 02:23:00.000000,0.227226,11.607709,,4.2
10/01/2019 02:24:00.000000,0.217713,11.350703,,5.25
10/01/2019 02:25:00.000000,0.210646,10.991883,,6.916667
10/01/2019 02:26:00.000000,0.201021,10.516691,,4.95
10/01/2019 02:27:00.000000,0.203139,9.720538,,5.233333
10/01/2019 02:28:00.000000,0.186559,9.063145,,5.716667
10/01/2019 02:29:00.000000,0.242094,8.73156,,5.25
10/01/2019 02:30:00.000000,0.265192,8.789145,,9.2
10/01/2019 02:31:00.000000,0.374364,9.492909,,6.0
10/01/2019 02:32:00.000000,0.336145,9.913919,,5.658333
10/01/2019 02:33:00.000000,0.242752,10.309762,,5.791667
10/01/2019 02:34:00.000000,0.232669,10.961209,,5.066667
10/01/2019 02:35:00.000000,0.461122,11.224715,,4.633333
10/01/2019 02:36:00.000000,0.490827,11.394389,,4.141667
10/01/2019 02:37:00.000000,0.291151,10.924841,,6.85
10/01/2019 02:38:00.000000,0.211836,10.613498,,4.558333
10/01/2019 02:39:00.000000,0.255213,10.980848,,5.675
10/01/2019 02:40:00.000000,0.262903,10.95775,,5.066667
10/01/2019 02:41:00.000000,0.217941,10.4521,,4.908333
10/01/2019 02:42:00.000000,0.19445,10.521214,,4.9
10/01/2019 02:43:00.000000,0.236749,10.509738,,7.283333
10/01/2019 02:44:00.000000,0.319441,11.070976,,6.766667
10/01/2019 02:45:00.000000,0.323689,10.542784,,5.508333
10/01/2019 02:46:00.000000,0.268199,9.907188,,6.775
10/01/2019 02:47:00.000000,0.239575,9.7536,,4.425
10/01/2019 02:48:00.000000,0.279131,10.316101,,5.3
10/01/2019 02:49:00.000000,0.32329,10.463983,,4.85
10/01/2019 02:50:00.000000,0.240324,9.796944,,5.625
10/01/2019 02:51:00.000000,0.199638,8.779874,,6.066667
10/01/2019 02:52:00.000000,0.206611,8.502593,,4.358333
10/01/2019 02:53:00.000000,0.186375,8.273236,,4.841667
10/01/2019 02:54:00.000000,0.184397,7.854569,,4.808333
10/01/2019 02:55:00.000000,0.186645,6.78413,,5.991667
10/01/2019 02:56:00.000000,0.179448,6.258104,,4.633333
10/01/2019 02:57:00.000000,0.198344,6.276027,,4.958333
10/01/2019 02:58:00.000000,0.213435,6.33434,,4.541667
10/01/2019 02:59:00.000000,0.239564,6.446006,,6.15
10/01/2019 03:00:00.000000,0.210873,6.477646,,6.3
10/01/2019 03:01:00.000000,0.182034,6.741021,,4.466667
10/01/2019 03:02:00.000000,0.189666,7.172952,,5.583333
10/01/2019 03:03:00.000000,0.202835,7.726779,,5.333333
10/01/2019 03:04:00.000000,0.226284,8.264864,,4.383333
10/01/2019 03:05:00.000000,0.238495,8.676244,,4.391667
10/01/2019 03:06:00.000000,0.249247,9.22572,,3.85
10/01/2019 03:07:00.000000,0.308318,10.014512,,4.533333
10/01/2019 03:08:00.000000,0.371397,10.677975,,6.983333
10/01/2019 03:09:00.000000,0.51608,11.358747,,4.266667
10/01/2019 03:10:00.000000,0.558195,11.995601,,6.2
10/01/2019 03:11:00.000000,0.433264,12.287284,,5.483333
10/01/2019 03:12:00.000000,0.325737,12.019925,,4.666667
10/01/2019 03:13:00.000000,0.217605,11.601066,,5.058333
10/01/2019 03:14:00.000000,0.231276,10.664829,,8.216667
10/01/2019 03:15:00.000000,0.280307,9.769352,,5.658333
10/01/2019 03:16:00.000000,0.240042,8.470916,,5.858333
10/01/2019 03:17:00.000000,0.199943,7.562382,,5.625
10/01/2019 03:18:00.000000,0.20088,7.611457,,4.958333
10/01/2019 03:19:00.000000,0.234615,7.613594,,4.808333
10/01/2019 03:20:00.000000,0.225041,7.630661,,4.891667
10/01/2019 03:21:00.000000,0.220336,7.90425,,5.541667
10/01/2019 03:22:00.000000,0.21229,7.891429,,6.333333
10/01/2019 03:23:00.000000,0.214673,7.728009,,5.483333
