InstrumentName, Canary-CDPHE-5,,,,,,,,,,,,,,
StartTime, 2022-01-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2022-01-31 23:59:59,,,,,,,,,,,,,,
Date,*Lat,*Lon,F1,F3,F4,Hmdty,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Uncertainty
01/01/2022 00:00:05.842000,39.798347,-104.909271,0.0,0.0,0.0,64.92,1.0,1.53,0.05,0.63,1.0,0.9,-69.0,32.31,187431.0
01/01/2022 00:01:06.838000,39.798347,-104.909271,0.0,0.0,0.0,64.94,1.5,1.15,0.95,0.32,1.5,0.95,-69.0,32.36,187431.0
01/01/2022 00:02:06.583000,39.798347,-104.909271,0.0,0.0,0.0,64.97,0.83,1.0,0.03,0.45,0.83,1.0,-69.0,32.34,187431.0
01/01/2022 00:03:06.522000,39.798347,-104.909271,0.0,0.0,0.0,64.87,1.25,1.37,0.88,0.32,1.25,0.68,-69.0,32.32,187431.0
01/01/2022 00:04:06.036000,39.798347,-104.909271,0.0,0.0,0.0,65.08,1.35,0.88,0.1,0.38,1.35,0.67,-69.0,32.22,187431.0
01/01/2022 00:05:06.415000,39.798347,-104.909271,0.0,0.0,0.0,65.16,1.0,0.62,0.77,0.05,1.0,0.62,-69.0,32.2,187431.0
01/01/2022 00:06:06.016000,39.798347,-104.909271,0.0,0.0,0.0,65.13,0.95,0.58,0.25,0.0,0.85,0.58,-69.0,32.18,187431.0
01/01/2022 00:07:05.695000,39.798347,-104.909271,0.0,0.0,0.0,65.15,0.65,0.63,0.2,0.0,0.63,0.03,-69.0,32.2,187431.0
01/01/2022 00:08:07.177000,39.798347,-104.909271,0.0,0.0,0.0,65.28,1.45,0.82,0.65,0.15,1.45,0.47,-69.0,32.18,187431.0
01/01/2022 00:09:07.074000,39.798347,-104.909271,0.0,0.0,0.0,65.33,0.7,0.95,0.25,0.0,0.7,0.6,-69.0,32.18,187431.0
01/01/2022 00:10:07.019000,39.798347,-104.909271,0.0,0.0,0.0,65.33,0.95,0.55,0.0,0.1,0.95,0.55,-69.0,32.2,187431.0
01/01/2022 00:11:06.180000,39.798347,-104.909271,0.0,0.0,0.0,65.21,0.9,0.95,0.0,0.1,0.9,0.75,-69.0,32.22,187431.0
01/01/2022 00:12:07.171000,39.798347,-104.909271,0.0,0.0,0.0,65.2,0.83,0.5,0.1,0.0,0.58,0.5,-69.0,32.22,187431.0
01/01/2022 00:13:06.792000,39.798347,-104.909271,0.0,0.0,0.0,65.14,0.65,0.12,0.0,0.07,0.65,0.12,-69.0,32.2,187431.0
01/01/2022 00:14:08.271000,39.798347,-104.909271,0.0,0.0,0.0,65.14,0.85,0.55,0.15,0.13,0.85,0.55,-69.0,32.13,187431.0
01/01/2022 00:15:05.031000,39.798347,-104.909271,0.0,0.0,0.0,62.84,4.0,2.8,1.6,1.9,3.05,2.8,-69.0,31.89,187431.0
01/01/2022 00:16:12.781000,39.798347,-104.909271,0.0,0.0,0.0,62.02,5.77,5.65,1.85,2.63,4.67,4.8,-69.0,31.59,187431.0
01/01/2022 00:17:06.507000,39.798347,-104.909271,0.0,0.0,0.0,61.84,6.42,7.42,2.0,3.85,4.98,5.88,-69.0,31.33,187431.0
01/01/2022 00:18:05.498000,39.798347,-104.909271,0.0,0.0,0.0,62.26,5.75,6.1,2.83,3.8,5.75,6.1,-69.0,31.01,187431.0
01/01/2022 00:19:04.097000,39.798347,-104.909271,0.0,0.0,0.0,62.33,6.68,8.25,3.3,2.23,6.68,5.85,-69.0,30.78,187431.0
01/01/2022 00:20:03.996000,39.798347,-104.909271,0.0,0.0,0.0,62.65,7.47,6.8,4.38,3.77,6.67,6.62,-69.0,30.52,187431.0
01/01/2022 00:21:05.324000,39.798347,-104.909271,0.0,0.0,0.0,63.14,5.93,6.5,3.63,2.83,4.73,5.58,-69.0,30.33,187431.0
01/01/2022 00:22:06.355000,39.798347,-104.909271,0.0,0.0,0.0,63.68,5.38,8.07,2.85,3.5,5.08,7.15,-69.0,30.15,187431.0
01/01/2022 00:23:03.544000,39.798347,-104.909271,0.0,0.0,0.0,63.86,6.6,8.8,4.13,4.0,6.25,8.25,-69.0,30.13,187431.0
01/01/2022 00:24:05.211000,39.798347,-104.909271,0.0,0.0,0.0,63.99,6.05,5.6,2.8,2.37,5.85,4.9,-69.0,30.13,187431.0
01/01/2022 00:25:04.721000,39.798347,-104.909271,0.0,0.0,0.0,63.27,7.6,10.05,3.55,4.67,6.5,7.3,-69.0,30.04,187431.0
01/01/2022 00:26:04.664000,39.798347,-104.909271,0.0,0.0,0.0,63.0,5.8,8.35,3.9,3.98,5.15,7.82,-69.0,29.95,187431.0
01/01/2022 00:27:06.322000,39.798347,-104.909271,0.0,0.0,0.0,63.26,8.02,7.5,4.33,4.05,7.2,6.7,-69.0,29.82,187431.0
01/01/2022 00:28:21.980000,39.798347,-104.909271,0.0,0.0,0.0,63.09,9.5,7.45,4.5,4.95,8.85,7.15,-69.0,29.71,187431.0
01/01/2022 00:29:03.842000,39.798347,-104.909271,0.0,0.0,0.0,62.86,7.6,10.08,4.42,5.55,7.13,8.55,-69.0,29.64,187431.0
01/01/2022 00:30:05.335000,39.798347,-104.909271,0.0,0.0,0.0,62.43,11.93,10.1,5.88,5.0,10.15,8.95,-69.0,29.61,187431.0
01/01/2022 00:31:05.585000,39.798347,-104.909271,0.0,0.0,0.0,62.01,9.68,10.8,4.75,4.5,8.15,8.45,-69.0,29.43,1844.0
01/01/2022 00:32:06.487000,39.798347,-104.909271,0.0,0.0,0.0,62.01,11.9,9.73,4.9,4.57,10.55,7.5,-69.0,29.32,1844.0
01/01/2022 00:33:05.202000,39.798347,-104.909271,0.0,0.0,0.0,62.27,10.2,11.65,6.67,6.63,9.17,10.55,-69.0,29.16,1844.0
01/01/2022 00:34:05.420000,39.798347,-104.909271,0.0,0.0,0.0,62.6,9.63,10.17,5.2,5.75,9.18,9.0,-69.0,29.05,1844.0
01/01/2022 00:35:05.772000,39.798347,-104.909271,0.0,0.0,0.0,62.78,9.48,10.63,5.1,4.25,9.43,9.7,-69.0,28.89,1844.0
