InstrumentName, STRIVE Prep Smart (CS35)
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,B,EH,ET,ICCID,IH,IT,P,PM10,PM1_0,PM2_5,PM2_5_p,Sig,Time,WD,WS
10/01/2021 00:01:00,12.331,-1.0,-1.0,,41.45,60.43,842.68,23.61,13.96,22.32,16.237,0.0,,-1.0,-1.0
10/01/2021 00:02:00,12.067,-1.0,-1.0,,42.04,60.02,842.68,22.92,14.17,21.88,15.813,0.0,,-1.0,-1.0
10/01/2021 00:03:00,12.072,-1.0,-1.0,,42.36,59.81,842.66,24.34,14.02,21.99,15.904,0.0,,-1.0,-1.0
10/01/2021 00:04:00,12.062,-1.0,-1.0,,42.26,59.78,842.63,26.12,14.12,22.61,16.471,0.0,,-1.0,-1.0
10/01/2021 00:05:00,12.058,-1.0,-1.0,,42.22,59.94,842.63,24.86,13.38,22.21,16.114,0.0,,-1.0,-1.0
10/01/2021 00:06:00,12.24,-1.0,-1.0,,42.71,59.6,842.62,25.78,15.44,22.47,16.337,0.0,,-1.0,-1.0
10/01/2021 00:07:00,12.053,-1.0,-1.0,,42.89,59.51,842.63,26.38,14.78,24.1,17.833,0.0,,-1.0,-1.0
10/01/2021 00:08:00,12.053,-1.0,-1.0,,42.71,59.73,842.62,24.69,14.93,21.98,15.896,0.0,,-1.0,-1.0
10/01/2021 00:09:00,12.053,-1.0,-1.0,,42.57,59.85,842.61,25.38,14.24,23.83,17.604,0.0,,-1.0,-1.0
10/01/2021 00:10:00,12.048,-1.0,-1.0,,42.39,60.0,842.61,23.12,15.07,21.89,15.827,0.0,,-1.0,-1.0
10/01/2021 00:11:00,12.053,-1.0,-1.0,,42.29,60.02,842.6,25.43,14.8,20.75,14.778,0.0,,-1.0,-1.0
10/01/2021 00:12:00,12.125,-1.0,-1.0,,42.18,60.19,842.61,23.92,13.82,21.92,15.865,0.0,,-1.0,-1.0
10/01/2021 00:13:00,12.058,-1.0,-1.0,,42.02,60.31,842.59,25.12,15.09,23.14,16.993,0.0,,-1.0,-1.0
10/01/2021 00:14:00,12.072,-1.0,-1.0,,42.15,60.29,842.58,24.37,13.01,21.61,15.587,0.0,,-1.0,-1.0
10/01/2021 00:15:00,12.077,-1.0,-1.0,,42.06,60.37,842.6,24.58,14.47,21.31,15.315,0.0,,-1.0,-1.0
10/01/2021 00:16:00,12.053,-1.0,-1.0,,41.81,60.36,842.6,27.93,15.22,24.48,18.226,0.0,,-1.0,-1.0
