InstrumentName, I25 Denver,,
StartTime, 2019-05-01 00:00:00,,
EndTime, 2019-05-31 23:59:59,,
Date,Carbon monoxide,Nitrogen dioxide,PM2.5 Total Atmospheric
05/01/2019 00:00:00.000000,0.562294,15.444592,6.041667
05/01/2019 00:01:00.000000,0.636704,15.395597,5.816667
05/01/2019 00:02:00.000000,0.463273,18.39951,6.05
05/01/2019 00:03:00.000000,0.405154,18.122116,6.383333
05/01/2019 00:04:00.000000,0.337069,17.42112,8.841667
05/01/2019 00:05:00.000000,0.405222,23.692904,11.466667
05/01/2019 00:06:00.000000,0.476673,17.503528,8.508333
05/01/2019 00:07:00.000000,0.363579,17.049041,5.216667
05/01/2019 00:08:00.000000,0.260408,16.212733,4.858333
05/01/2019 00:09:00.000000,0.240265,16.088049,5.833333
05/01/2019 00:10:00.000000,0.295733,15.58554,7.841667
05/01/2019 00:11:00.000000,0.312886,15.074497,11.25
05/01/2019 00:12:00.000000,0.33148,14.580484,9.383333
05/01/2019 00:13:00.000000,0.331186,14.546646,7.908333
05/01/2019 00:14:00.000000,0.334646,14.668423,6.775
05/01/2019 00:15:00.000000,0.287841,14.523546,5.4
05/01/2019 00:16:00.000000,0.220091,13.780041,5.516667
05/01/2019 00:17:00.000000,0.248407,13.816565,9.275
05/01/2019 00:18:00.000000,0.362366,18.383916,12.308333
05/01/2019 00:19:00.000000,0.573608,20.379217,10.733333
05/01/2019 00:20:00.000000,0.616576,13.828962,15.641667
05/01/2019 00:21:00.000000,0.877651,23.66912,17.65
05/01/2019 00:22:00.000000,1.121145,22.834667,16.95
05/01/2019 00:23:00.000000,0.972269,23.865212,15.016667
05/01/2019 00:24:00.000000,0.771348,23.764711,13.508333
05/01/2019 00:25:00.000000,0.59329,20.69937,11.0
05/01/2019 00:26:00.000000,0.54806,20.033379,7.483333
05/01/2019 00:27:00.000000,0.490671,20.148878,8.85
05/01/2019 00:28:00.000000,0.465069,20.252942,10.891667
05/01/2019 00:29:00.000000,0.466163,20.071997,
05/01/2019 00:30:00.000000,0.396989,19.638521,7.725
05/01/2019 00:31:00.000000,0.378415,19.264619,7.808333
05/01/2019 00:32:00.000000,0.346005,18.640286,9.875
05/01/2019 00:33:00.000000,0.331334,19.019045,9.283333
05/01/2019 00:34:00.000000,0.328393,19.329697,6.591667
05/01/2019 00:35:00.000000,0.280846,21.446587,10.875
05/01/2019 00:36:00.000000,0.377567,26.181341,13.566667
05/01/2019 00:37:00.000000,0.580128,22.471742,10.391667
05/01/2019 00:38:00.000000,0.675344,20.453999,6.966667
05/01/2019 00:39:00.000000,0.592265,19.270705,7.608333
05/01/2019 00:40:00.000000,0.420888,18.808592,9.658333
05/01/2019 00:41:00.000000,0.433583,18.904182,8.216667
05/01/2019 00:42:00.000000,0.640188,18.772474,8.316667
05/01/2019 00:43:00.000000,0.919499,25.625624,11.091667
05/01/2019 00:44:00.000000,0.837532,23.695129,12.475
05/01/2019 00:45:00.000000,0.604093,24.376589,11.783333
05/01/2019 00:46:00.000000,0.592717,18.216905,8.341667
05/01/2019 00:47:00.000000,0.425472,15.569119,7.0
05/01/2019 00:48:00.000000,0.286425,15.816689,9.075
05/01/2019 00:49:00.000000,0.372456,16.224553,10.666667
05/01/2019 00:50:00.000000,0.551462,16.949918,11.116667
05/01/2019 00:51:00.000000,0.587631,17.477551,9.741667
05/01/2019 00:52:00.000000,0.471003,17.764678,8.233333
05/01/2019 00:53:00.000000,0.448021,18.02058,10.175
05/01/2019 00:54:00.000000,0.593118,18.69019,8.066667
05/01/2019 00:55:00.000000,0.619713,19.753563,10.241667
05/01/2019 00:56:00.000000,0.645628,19.92913,10.841667
05/01/2019 00:57:00.000000,0.700679,23.509248,11.6
05/01/2019 00:58:00.000000,0.744288,21.599023,12.491667
05/01/2019 00:59:00.000000,0.847618,23.916705,11.525
05/01/2019 01:00:00.000000,1.000907,24.161654,11.05
05/01/2019 01:01:00.000000,0.9811,20.615212,8.525
05/01/2019 01:02:00.000000,0.803269,14.42249,8.241667
05/01/2019 01:03:00.000000,0.638631,25.025447,8.325
05/01/2019 01:04:00.000000,0.778671,23.890257,10.033333
05/01/2019 01:05:00.000000,0.919081,23.367447,9.541667
05/01/2019 01:06:00.000000,0.679291,22.569841,8.466667
05/01/2019 01:07:00.000000,0.497726,21.456807,8.1
05/01/2019 01:08:00.000000,0.692446,28.377913,11.158333
05/01/2019 01:09:00.000000,0.791182,28.453303,10.083333
05/01/2019 01:10:00.000000,0.780232,19.77392,8.025
05/01/2019 01:11:00.000000,0.660078,18.358757,7.7
05/01/2019 01:12:00.000000,0.468645,18.014516,7.2
05/01/2019 01:13:00.000000,0.455936,17.627854,7.2
05/01/2019 01:14:00.000000,0.397526,17.624875,7.725
05/01/2019 01:15:00.000000,0.499611,17.958455,8.683333
05/01/2019 01:16:00.000000,0.650484,29.349075,10.558333
05/01/2019 01:17:00.000000,0.692377,21.747925,10.083333
05/01/2019 01:18:00.000000,0.528848,17.840218,8.941667
05/01/2019 01:19:00.000000,0.541116,20.062081,8.025
05/01/2019 01:20:00.000000,0.615326,19.491075,8.216667
05/01/2019 01:21:00.000000,0.573907,19.580539,7.925
05/01/2019 01:22:00.000000,0.501296,18.929844,8.058333
05/01/2019 01:23:00.000000,0.399971,18.591172,8.308333
05/01/2019 01:24:00.000000,0.448756,20.575508,9.091667
05/01/2019 01:25:00.000000,0.615264,27.409053,8.516667
05/01/2019 01:26:00.000000,0.609502,14.630026,9.0
05/01/2019 01:27:00.000000,0.431369,17.850811,8.716667
05/01/2019 01:28:00.000000,0.46293,17.522673,7.8
05/01/2019 01:29:00.000000,0.620369,17.069902,8.616667
05/01/2019 01:30:00.000000,0.508758,16.7665,9.258333
05/01/2019 01:31:00.000000,0.620755,16.68838,8.658333
05/01/2019 01:32:00.000000,0.585622,16.330945,8.258333
05/01/2019 01:33:00.000000,0.309725,16.154714,8.708333
05/01/2019 01:34:00.000000,0.341127,15.848337,8.241667
05/01/2019 01:35:00.000000,0.702649,16.082552,7.816667
05/01/2019 01:36:00.000000,0.727057,19.953448,8.25
05/01/2019 01:37:00.000000,0.575911,18.876342,8.675
05/01/2019 01:38:00.000000,0.511499,18.246461,11.308333
05/01/2019 01:39:00.000000,0.372084,18.310171,10.358333
05/01/2019 01:40:00.000000,0.388432,18.169545,8.633333
05/01/2019 01:41:00.000000,0.447511,18.112269,8.45
05/01/2019 01:42:00.000000,0.454498,18.070052,8.841667
05/01/2019 01:43:00.000000,0.444264,18.232662,9.3
05/01/2019 01:44:00.000000,0.442162,18.266782,8.425
05/01/2019 01:45:00.000000,0.404307,18.558799,8.15
05/01/2019 01:46:00.000000,0.398966,18.533243,8.05
05/01/2019 01:47:00.000000,0.363059,18.512603,8.033333
05/01/2019 01:48:00.000000,0.343945,18.626487,8.433333
05/01/2019 01:49:00.000000,0.379837,18.276781,8.25
05/01/2019 01:50:00.000000,0.266919,17.214653,8.7
05/01/2019 01:51:00.000000,0.229222,16.707634,8.616667
05/01/2019 01:52:00.000000,0.244009,16.487867,8.258333
05/01/2019 01:53:00.000000,0.297279,16.494487,8.3
05/01/2019 01:54:00.000000,0.414248,16.536397,8.941667
05/01/2019 01:55:00.000000,0.452182,16.305276,9.283333
05/01/2019 01:56:00.000000,0.541616,16.791314,9.55
05/01/2019 01:57:00.000000,0.623262,17.027552,9.916667
05/01/2019 01:58:00.000000,0.417232,17.295862,10.058333
05/01/2019 01:59:00.000000,0.377842,17.446118,9.4
05/01/2019 02:00:00.000000,0.467364,17.182923,8.958333
05/01/2019 02:01:00.000000,0.618235,17.199097,10.05
05/01/2019 02:02:00.000000,0.667796,16.996615,9.866667
05/01/2019 02:03:00.000000,0.752372,16.758044,9.841667
05/01/2019 02:04:00.000000,0.421968,16.267833,9.541667
05/01/2019 02:05:00.000000,0.222387,15.480246,9.991667
05/01/2019 02:06:00.000000,0.2314,14.798087,10.875
05/01/2019 02:07:00.000000,0.327937,14.681648,10.008333
05/01/2019 02:08:00.000000,0.325306,13.979786,9.416667
05/01/2019 02:09:00.000000,0.223251,12.919064,
05/01/2019 02:10:00.000000,0.177464,12.483878,9.416667
05/01/2019 02:11:00.000000,0.175231,12.226677,9.5
05/01/2019 02:12:00.000000,0.166432,11.963826,9.85
05/01/2019 02:13:00.000000,0.169385,11.371507,9.691667
05/01/2019 02:14:00.000000,0.172307,10.833459,9.516667
