InstrumentName, I25 Denver,,
StartTime, 2018-05-01 00:00:00,,
EndTime, 2018-05-31 23:59:59,,
Date,Carbon monoxide,Nitrogen dioxide,PM2.5 Total Atmospheric
05/01/2018 00:00:00.000000,1.597277,42.842703,12.825
05/01/2018 00:01:00.000000,0.958971,40.941438,13.516667
05/01/2018 00:02:00.000000,0.699015,38.885515,13.325
05/01/2018 00:03:00.000000,0.648698,32.710651,12.933333
05/01/2018 00:04:00.000000,0.621366,20.9861,12.625
05/01/2018 00:05:00.000000,0.437456,9.052522,12.508333
05/01/2018 00:06:00.000000,0.312986,8.140958,10.666667
05/01/2018 00:07:00.000000,0.256667,8.238858,12.15
05/01/2018 00:08:00.000000,0.243727,8.565857,11.475
05/01/2018 00:09:00.000000,0.311864,8.965378,14.608333
05/01/2018 00:10:00.000000,0.311402,8.713917,10.133333
05/01/2018 00:11:00.000000,0.263054,8.413361,8.416667
05/01/2018 00:12:00.000000,0.236558,8.225667,10.041667
05/01/2018 00:13:00.000000,0.275785,8.025464,8.916667
05/01/2018 00:14:00.000000,0.287925,7.848927,9.808333
05/01/2018 00:15:00.000000,0.249999,7.196215,8.708333
05/01/2018 00:16:00.000000,0.220738,6.714276,8.6
05/01/2018 00:17:00.000000,0.304079,7.694603,8.875
05/01/2018 00:18:00.000000,0.37558,17.457169,9.358333
05/01/2018 00:19:00.000000,0.318863,13.714816,8.025
05/01/2018 00:20:00.000000,0.291643,7.897208,7.9
05/01/2018 00:21:00.000000,0.233464,6.030201,8.358333
05/01/2018 00:22:00.000000,0.230344,6.161959,8.216667
05/01/2018 00:23:00.000000,0.250601,7.008225,8.841667
05/01/2018 00:24:00.000000,0.368852,7.559898,9.266667
05/01/2018 00:25:00.000000,0.418133,7.780934,9.575
05/01/2018 00:26:00.000000,0.27102,7.953676,9.508333
05/01/2018 00:27:00.000000,0.300307,8.103244,9.225
05/01/2018 00:28:00.000000,0.320528,16.46031,9.658333
05/01/2018 00:29:00.000000,0.321562,10.101903,
05/01/2018 00:30:00.000000,0.369266,8.437532,8.9
05/01/2018 00:31:00.000000,0.340272,8.164466,8.433333
05/01/2018 00:32:00.000000,0.325631,8.009172,9.591667
05/01/2018 00:33:00.000000,0.296666,8.220389,9.975
05/01/2018 00:34:00.000000,0.315542,7.936372,9.175
05/01/2018 00:35:00.000000,0.255061,7.432204,8.641667
05/01/2018 00:36:00.000000,0.239636,7.125168,7.866667
05/01/2018 00:37:00.000000,0.265208,6.97282,9.816667
05/01/2018 00:38:00.000000,0.330903,7.361026,10.275
05/01/2018 00:39:00.000000,0.354762,7.387606,8.191667
05/01/2018 00:40:00.000000,0.347912,7.296266,9.1
05/01/2018 00:41:00.000000,0.334889,7.776724,8.466667
05/01/2018 00:42:00.000000,0.342528,8.180772,10.416667
05/01/2018 00:43:00.000000,0.305301,8.294084,8.95
05/01/2018 00:44:00.000000,0.276778,8.467074,9.35
05/01/2018 00:45:00.000000,0.244217,8.960942,10.408333
05/01/2018 00:46:00.000000,0.239185,9.345952,10.408333
05/01/2018 00:47:00.000000,0.235976,10.161042,10.4
05/01/2018 00:48:00.000000,0.2302,10.872939,9.941667
05/01/2018 00:49:00.000000,0.324114,11.653488,9.808333
05/01/2018 00:50:00.000000,0.391928,12.164444,8.883333
05/01/2018 00:51:00.000000,0.312258,12.053487,7.975
05/01/2018 00:52:00.000000,0.324755,12.064451,9.091667
05/01/2018 00:53:00.000000,0.34057,11.672123,8.833333
05/01/2018 00:54:00.000000,0.285949,10.988239,8.708333
05/01/2018 00:55:00.000000,0.273084,11.070137,8.975
05/01/2018 00:56:00.000000,0.268962,12.510299,8.358333
05/01/2018 00:57:00.000000,0.281576,13.783241,8.666667
05/01/2018 00:58:00.000000,0.281185,14.923797,8.7
05/01/2018 00:59:00.000000,0.271874,15.423811,8.608333
05/01/2018 01:00:00.000000,0.251741,16.309213,7.775
05/01/2018 01:01:00.000000,0.248359,16.673867,9.258333
05/01/2018 01:02:00.000000,0.273172,15.884144,8.025
05/01/2018 01:03:00.000000,0.267331,14.449737,8.175
05/01/2018 01:04:00.000000,0.255915,12.755682,8.291667
05/01/2018 01:05:00.000000,0.23582,11.506564,8.483333
05/01/2018 01:06:00.000000,0.246368,10.494202,8.591667
05/01/2018 01:07:00.000000,0.258219,10.059655,7.775
05/01/2018 01:08:00.000000,0.286383,9.941569,8.708333
05/01/2018 01:09:00.000000,0.277282,9.288917,9.075
05/01/2018 01:10:00.000000,0.257904,8.74767,9.008333
05/01/2018 01:11:00.000000,0.247505,8.18824,9.366667
05/01/2018 01:12:00.000000,0.247352,8.079998,9.033333
05/01/2018 01:13:00.000000,0.260015,7.89405,8.541667
05/01/2018 01:14:00.000000,0.270985,7.049582,8.225
05/01/2018 01:15:00.000000,0.275453,6.336272,9.025
05/01/2018 01:16:00.000000,0.249345,6.035213,7.633333
05/01/2018 01:17:00.000000,0.224613,6.036965,8.325
05/01/2018 01:18:00.000000,0.221272,5.95022,8.95
05/01/2018 01:19:00.000000,0.214234,6.382812,9.183333
05/01/2018 01:20:00.000000,0.229376,8.102506,10.391667
05/01/2018 01:21:00.000000,0.244903,8.480109,8.483333
05/01/2018 01:22:00.000000,0.228092,8.40668,8.666667
05/01/2018 01:23:00.000000,0.224483,8.269688,7.875
05/01/2018 01:24:00.000000,0.256362,8.300957,9.083333
05/01/2018 01:25:00.000000,0.243397,8.192951,9.291667
05/01/2018 01:26:00.000000,0.232317,6.489283,9.116667
05/01/2018 01:27:00.000000,0.221876,4.922746,6.9
05/01/2018 01:28:00.000000,0.230579,4.684398,7.891667
05/01/2018 01:29:00.000000,0.235794,4.799994,7.908333
05/01/2018 01:30:00.000000,0.218221,4.884107,7.9
05/01/2018 01:31:00.000000,0.225567,4.884526,7.991667
05/01/2018 01:32:00.000000,0.218724,5.329974,8.183333
05/01/2018 01:33:00.000000,0.244016,5.484526,8.016667
05/01/2018 01:34:00.000000,0.263296,6.018684,8.183333
05/01/2018 01:35:00.000000,0.314287,5.968331,7.833333
05/01/2018 01:36:00.000000,0.263676,5.750623,8.808333
05/01/2018 01:37:00.000000,0.241694,30.726848,9.358333
05/01/2018 01:38:00.000000,0.215394,30.420334,9.583333
05/01/2018 01:39:00.000000,0.208887,23.127621,9.325
