InstrumentName, La Casa NCORE,,,,
StartTime, 2018-10-01 00:00:00,,,,
EndTime, 2018-10-31 23:59:59,,,,
Date,Carbon monoxide,Nitrogen dioxide,Ozone,PM10 Total 0-10um STP,PM2.5 Total Atmospheric
10/01/2018 00:00:00.000000,0.209903,,0.0236,12.80878,7.108333
10/01/2018 00:01:00.000000,0.203256,,0.02455,13.066152,6.575
10/01/2018 00:02:00.000000,0.182352,,0.025583,13.757171,6.275
10/01/2018 00:03:00.000000,0.19451,,0.026283,6.969094,6.016667
10/01/2018 00:04:00.000000,0.202486,,0.026567,9.148457,7.15
10/01/2018 00:05:00.000000,0.208273,,0.027033,11.861345,8.275
10/01/2018 00:06:00.000000,0.194445,,0.025917,11.455937,7.025
10/01/2018 00:07:00.000000,0.196778,,0.024733,10.193406,6.541667
10/01/2018 00:08:00.000000,0.205911,,0.024383,8.919414,6.725
10/01/2018 00:09:00.000000,0.198157,,0.024867,10.009359,6.858333
10/01/2018 00:10:00.000000,0.191682,,0.025717,12.016582,6.633333
10/01/2018 00:11:00.000000,0.193302,,0.024783,12.05504,6.15
10/01/2018 00:12:00.000000,0.21402,,0.02415,6.669632,5.758333
10/01/2018 00:13:00.000000,0.201448,,0.025583,6.84308,5.908333
10/01/2018 00:14:00.000000,0.177229,,0.02605,7.181472,6.2
10/01/2018 00:15:00.000000,0.181488,,0.025817,7.035045,6.075
10/01/2018 00:16:00.000000,0.182439,,0.026617,6.879102,5.941667
10/01/2018 00:17:00.000000,0.180696,,0.02625,8.153335,6.583333
10/01/2018 00:18:00.000000,0.189108,,0.024317,11.436287,7.15
10/01/2018 00:19:00.000000,0.197808,,0.023733,10.964161,6.508333
10/01/2018 00:20:00.000000,0.206268,,0.02465,18.71657,7.891667
10/01/2018 00:21:00.000000,0.203601,,0.024083,23.860323,8.9
10/01/2018 00:22:00.000000,0.218076,,0.02335,8.019504,6.633333
10/01/2018 00:23:00.000000,0.245608,,0.0237,11.848634,6.858333
10/01/2018 00:24:00.000000,0.285661,,0.0235,15.742617,7.375
10/01/2018 00:25:00.000000,0.239793,,0.022567,20.939408,7.033333
10/01/2018 00:26:00.000000,0.223081,,0.022283,25.184548,7.133333
10/01/2018 00:27:00.000000,0.226271,,0.022083,11.350739,6.891667
10/01/2018 00:28:00.000000,0.226882,,0.022033,6.972074,6.025
10/01/2018 00:29:00.000000,0.212365,,0.022133,7.368354,6.366667
10/01/2018 00:30:00.000000,0.221109,,0.021117,9.56682,6.391667
10/01/2018 00:31:00.000000,0.244865,,0.020333,21.192439,6.558333
10/01/2018 00:32:00.000000,0.243777,,0.020117,25.049515,6.575
10/01/2018 00:33:00.000000,0.227961,,0.020033,16.388221,5.45
10/01/2018 00:34:00.000000,0.208633,,0.019967,15.974528,5.308333
10/01/2018 00:35:00.000000,0.203833,,0.01985,11.141071,5.516667
10/01/2018 00:36:00.000000,0.203061,,0.021233,11.787047,5.483333
10/01/2018 00:37:00.000000,0.201408,,0.02145,11.822721,6.308333
10/01/2018 00:38:00.000000,0.240163,,0.02145,13.25773,6.966667
10/01/2018 00:39:00.000000,0.274236,,0.021,7.566695,6.5
10/01/2018 00:40:00.000000,0.255674,,0.021217,7.248193,6.208333
10/01/2018 00:41:00.000000,0.234093,,0.021617,9.406997,6.591667
10/01/2018 00:42:00.000000,0.237371,,0.021933,11.979081,7.533333
10/01/2018 00:43:00.000000,0.246121,,0.022233,24.315016,7.508333
10/01/2018 00:44:00.000000,0.235979,,0.02135,31.321442,7.591667
10/01/2018 00:45:00.000000,0.229764,,0.022083,10.998038,6.883333
10/01/2018 00:46:00.000000,0.212392,,0.023383,13.215167,6.716667
10/01/2018 00:47:00.000000,0.21799,,0.022117,16.695982,7.258333
10/01/2018 00:48:00.000000,0.245138,,0.022217,23.154302,6.616667
10/01/2018 00:49:00.000000,0.250815,,0.021433,29.445496,6.508333
10/01/2018 00:50:00.000000,0.248988,,0.020867,14.301187,7.333333
10/01/2018 00:51:00.000000,0.249789,,0.0187,12.709697,6.558333
10/01/2018 00:52:00.000000,0.268977,,0.017583,6.946396,6.008333
10/01/2018 00:53:00.000000,0.361037,,0.0175,7.427314,6.425
10/01/2018 00:54:00.000000,0.326159,,0.0154,9.314087,6.683333
10/01/2018 00:55:00.000000,0.265871,,0.015717,11.866046,7.091667
10/01/2018 00:56:00.000000,0.262885,,0.016967,12.857932,7.416667
10/01/2018 00:57:00.000000,0.311655,,0.016933,13.385577,7.3
10/01/2018 00:58:00.000000,0.339784,,0.016233,14.155912,6.883333
10/01/2018 00:59:00.000000,0.312876,,0.015333,16.273782,7.633333
10/01/2018 01:00:00.000000,0.303557,,0.014667,16.220192,9.0
10/01/2018 01:01:00.000000,0.309667,,0.014317,19.759639,7.675
10/01/2018 01:02:00.000000,0.290482,,0.014617,21.861995,7.05
10/01/2018 01:03:00.000000,0.274967,,0.014133,14.887205,6.983333
10/01/2018 01:04:00.000000,0.282733,,0.013683,10.579427,6.608333
10/01/2018 01:05:00.000000,0.27481,,0.014617,9.461983,7.025
10/01/2018 01:06:00.000000,0.258653,,0.015217,10.126327,6.658333
10/01/2018 01:07:00.000000,0.243743,,0.01505,11.156455,6.525
